state,year,month,ndvi
Georgia,2000,1,
Georgia,2000,2,0.5151391853603741
Georgia,2000,3,0.5544680881107812
Georgia,2000,4,0.6442096522703055
Georgia,2000,5,0.6714188497625079
Georgia,2000,6,0.6967660519359558
Georgia,2000,7,0.6829048211516631
Georgia,2000,8,0.7297405087808102
Georgia,2000,9,0.7203796732410466
Georgia,2000,10,0.625925159931374
Georgia,2000,11,0.5670696676362357
Georgia,2000,12,0.5470815149756794
Georgia,2001,1,0.5083569986569587
Georgia,2001,2,0.5062047409623447
Georgia,2001,3,0.535499371614795
Georgia,2001,4,0.6453158598193716
Georgia,2001,5,0.6953274308220748
Georgia,2001,6,0.6392527341173561
Georgia,2001,7,0.7337018330491251
Georgia,2001,8,0.7439267848739486
Georgia,2001,9,0.7257686197073844
Georgia,2001,10,0.6533672674153466
Georgia,2001,11,0.5615474064055709
Georgia,2001,12,0.563522659172513
Georgia,2002,1,0.5218663446258774
Georgia,2002,2,0.5166578775799172
Georgia,2002,3,0.5321261672064463
Georgia,2002,4,0.6580283015234313
Georgia,2002,5,0.7011819402728448
Georgia,2002,6,0.727762542041097
Georgia,2002,7,0.7431797441916614
Georgia,2002,8,0.7367616371640652
Georgia,2002,9,0.6628326234971028
Georgia,2002,10,0.7196118055306852
Georgia,2002,11,0.6383907905519455
Georgia,2002,12,0.5801577861000059
Georgia,2003,1,0.5392434675833205
Georgia,2003,2,0.5232738354947579
Georgia,2003,3,0.5585301929141456
Georgia,2003,4,0.674266336738678
Georgia,2003,5,0.7268558220412915
Georgia,2003,6,0.7418615327173992
Georgia,2003,7,0.7445233959229309
Georgia,2003,8,0.7508807021761134
Georgia,2003,9,0.7252158137803699
Georgia,2003,10,0.6747717840189283
Georgia,2003,11,0.6234257081208378
Georgia,2003,12,0.5772327321119914
Georgia,2004,1,0.5439674907845344
Georgia,2004,2,0.5215021192360727
Georgia,2004,3,0.5308172690950128
Georgia,2004,4,0.6521351963394739
Georgia,2004,5,0.7125407835613995
Georgia,2004,6,0.7284430028054705
Georgia,2004,7,0.7658819040523841
Georgia,2004,8,0.7570683148103333
Georgia,2004,9,0.7453009567214266
Georgia,2004,10,0.6932379891275589
Georgia,2004,11,0.6322380064382664
Georgia,2004,12,0.5953411906324206
Georgia,2005,1,0.5570479258264024
Georgia,2005,2,0.5282332740040797
Georgia,2005,3,0.538632388691562
