state,year,month,ndvi
Iowa,2000,1,
Iowa,2000,2,0.24616603097755585
Iowa,2000,3,0.2672049347953669
Iowa,2000,4,0.3403326710641563
Iowa,2000,5,0.4676533941598516
Iowa,2000,6,0.6746282541131927
Iowa,2000,7,0.8282498859922726
Iowa,2000,8,0.701173734358076
Iowa,2000,9,0.44032000884848144
Iowa,2000,10,0.3356666099372267
Iowa,2000,11,0.22044867604381943
Iowa,2000,12,0.03840987893237009
Iowa,2001,1,-0.012496740201473643
Iowa,2001,2,-0.015849159796601536
Iowa,2001,3,0.12856227877346527
Iowa,2001,4,0.33202555498659386
Iowa,2001,5,0.4709406727845376
Iowa,2001,6,0.5903873613521319
Iowa,2001,7,0.784358123745359
Iowa,2001,8,0.7925760063289023
Iowa,2001,9,0.5558679822738972
Iowa,2001,10,0.3657053869402502
Iowa,2001,11,0.32502469839549125
Iowa,2001,12,0.30406157102071907
Iowa,2002,1,0.26039184724012865
Iowa,2002,2,0.21739784527679154
Iowa,2002,3,0.23763601927651704
Iowa,2002,4,0.3583714042588659
Iowa,2002,5,0.4569162344186047
Iowa,2002,6,0.6669029853993329
Iowa,2002,7,0.8098435299997369
Iowa,2002,8,0.7809952840779232
Iowa,2002,9,0.4938754001819881
Iowa,2002,10,0.3572807197044163
Iowa,2002,11,0.3194526647357998
Iowa,2002,12,0.2754587070920881
Iowa,2003,1,0.19888543430920386
Iowa,2003,2,0.15488092183212232
Iowa,2003,3,0.24283970480766057
Iowa,2003,4,0.34573301197231976
Iowa,2003,5,0.447447225182048
Iowa,2003,6,0.6414862539499382
Iowa,2003,7,0.8079935662450798
Iowa,2003,8,0.7199569075261607
Iowa,2003,9,0.45972410301626
Iowa,2003,10,0.33737335033640986
Iowa,2003,11,0.2987697747705737
Iowa,2003,12,0.1428526709219008
Iowa,2004,1,0.2003541723266943
Iowa,2004,2,0.03683780773924157
Iowa,2004,3,0.2687791828762296
Iowa,2004,4,0.3494334286146582
Iowa,2004,5,0.46219492139975576
Iowa,2004,6,0.686102784206369
