state,year,month,ndvi
Louisiana,2000,1,
Louisiana,2000,2,0.5103979052905002
Louisiana,2000,3,0.5715561527143945
Louisiana,2000,4,0.6284331677248045
Louisiana,2000,5,0.6830897919447686
Louisiana,2000,6,0.6934157009411194
Louisiana,2000,7,0.6829827932533432
Louisiana,2000,8,0.6508026476106233
Louisiana,2000,9,0.6328512773886643
Louisiana,2000,10,0.5966194021443442
Louisiana,2000,11,0.5479594424759816
Louisiana,2000,12,0.5057286813107924
Louisiana,2001,1,0.4652421375870087
Louisiana,2001,2,0.48869107097653197
Louisiana,2001,3,0.5426286103811316
Louisiana,2001,4,0.6445353856318683
Louisiana,2001,5,0.6663042966039198
Louisiana,2001,6,0.6298925015826663
Louisiana,2001,7,0.7235832581477175
Louisiana,2001,8,0.7071973319097655
Louisiana,2001,9,0.674108501168354
Louisiana,2001,10,0.6225046367001542
Louisiana,2001,11,0.5603356804990377
Louisiana,2001,12,0.5336928957367193
Louisiana,2002,1,0.46699764011845973
Louisiana,2002,2,0.4741199943658022
Louisiana,2002,3,0.5098169455979178
Louisiana,2002,4,0.595988095384054
Louisiana,2002,5,0.6725222878809995
Louisiana,2002,6,0.7105984042592517
Louisiana,2002,7,0.7260381102657574
Louisiana,2002,8,0.7152461367105098
Louisiana,2002,9,0.6672754425752035
Louisiana,2002,10,0.6563212327162392
Louisiana,2002,11,0.6058797849762496
Louisiana,2002,12,0.5237538159329714
Louisiana,2003,1,0.4889780195789621
Louisiana,2003,2,0.47037537420364633
Louisiana,2003,3,0.5305249100765171
Louisiana,2003,4,0.6351996942885113
Louisiana,2003,5,0.6677633884625349
Louisiana,2003,6,0.6524604826180833
Louisiana,2003,7,0.7153051562747816
Louisiana,2003,8,0.7029605917656961
Louisiana,2003,9,0.677088977849041
Louisiana,2003,10,0.6426287999227618
Louisiana,2003,11,0.5915703775937856
Louisiana,2003,12,0.5018989376383598
Louisiana,2004,1,0.47780866169409514
Louisiana,2004,2,0.4638384269150918
Louisiana,2004,3,0.5405784850389397
Louisiana,2004,4,0.6441246992486845
Louisiana,2004,5,0.6647695374432595
Louisiana,2004,6,0.7098334434605678
Louisiana,2004,7,0.7245209020985501
Louisiana,2004,8,0.6972445069304802
Louisiana,2004,9,0.6588060415011634
Louisiana,2004,10,0.6535044256172601
Louisiana,2004,11,0.6110425239764821
Louisiana,2004,12,0.5456931400517527
Louisiana,2005,1,0.4856799620100621
Louisiana,2005,2,0.4829856374570577
Louisiana,2005,3,0.5222171970279006
Louisiana,2005,4,0.6335406830661549
Louisiana,2005,5,0.6677508831122395
Louisiana,2005,6,0.7224589328219486
Louisiana,2005,7,0.7087427386967783
Louisiana,2005,8,0.694592884090151
Louisiana,2005,9,0.6337689994222544
Louisiana,2005,10,0.5999820081807711
Louisiana,2005,11,0.5570515252671864
Louisiana,2005,12,0.5063256235902048
Louisiana,2006,1,0.48495042451980164
Louisiana,2006,2,0.48078658857195444
Louisiana,2006,3,0.525742737800681
Louisiana,2006,4,0.6258335664306461
Louisiana,2006,5,0.6679243417440285
Louisiana,2006,6,0.6859030043199295
Louisiana,2006,7,0.6971603141458149
Louisiana,2006,8,0.688568837678064
Louisiana,2006,9,0.6613453416765016
Louisiana,2006,10,0.6326376328853305
Louisiana,2006,11,0.586541378754345
Louisiana,2006,12,0.5119534897441783
Louisiana,2007,1,0.48002302768526134
Louisiana,2007,2,0.479012099134663
Louisiana,2007,3,0.5601328951934909
Louisiana,2007,4,0.6531454545347819
Louisiana,2007,5,0.6980119396122999
Louisiana,2007,6,0.6970309480022677
Louisiana,2007,7,0.7250090241369486
Louisiana,2007,8,0.6952265230271717
Louisiana,2007,9,0.6736723569659239
Louisiana,2007,10,0.647662842438219
Louisiana,2007,11,0.5764331385956017
Louisiana,2007,12,0.5315543046521511
Louisiana,2008,1,0.5009067796719593
Louisiana,2008,2,0.4883888159500288
Louisiana,2008,3,0.5257183669052179
Louisiana,2008,4,0.6449078054242803
Louisiana,2008,5,0.685515317832527
Louisiana,2008,6,0.7058210910317997
Louisiana,2008,7,0.7007457474228961
Louisiana,2008,8,0.6919730259092841
Louisiana,2008,9,0.6437713840196838
Louisiana,2008,10,0.5913974169279985
Louisiana,2008,11,0.5558410862380594
Louisiana,2008,12,0.4988310198040515
Louisiana,2009,1,0.4910330395489115
Louisiana,2009,2,0.48632921763963116
Louisiana,2009,3,0.5595000601691845
Louisiana,2009,4,0.6269296651030566
Louisiana,2009,5,0.6779054540743635
Louisiana,2009,6,0.6884700454798286
Louisiana,2009,7,0.7047540597214318
Louisiana,2009,8,0.7021842586819519
Louisiana,2009,9,0.6508140729230973
Louisiana,2009,10,0.6704191438094375
Louisiana,2009,11,0.5961857174486311
Louisiana,2009,12,0.5133082159187686
Louisiana,2010,1,0.47797727698650044
Louisiana,2010,2,0.4524210536370362
Louisiana,2010,3,0.48128610398659566
Louisiana,2010,4,0.6275209852814189
Louisiana,2010,5,0.6874287645271341
Louisiana,2010,6,0.6975935532199253
Louisiana,2010,7,0.7046665169964758
Louisiana,2010,8,0.6964260502592458
Louisiana,2010,9,0.6317387295902412
Louisiana,2010,10,0.6074825396539797
Louisiana,2010,11,0.5760319337071673
Louisiana,2010,12,0.5151566928034141
Louisiana,2011,1,0.48794823831098405
Louisiana,2011,2,0.48305756964039687
Louisiana,2011,3,0.5485571660098365
Louisiana,2011,4,0.6516664779604894
Louisiana,2011,5,0.6535643125843105
Louisiana,2011,6,0.6792867698106186
Louisiana,2011,7,0.6786599337885386
Louisiana,2011,8,0.6716430109228723
Louisiana,2011,9,0.6539698452204791
Louisiana,2011,10,0.6145734937313272
Louisiana,2011,11,0.5726554083377241
Louisiana,2011,12,0.5119408803862532
Louisiana,2012,1,0.49844633836297564
Louisiana,2012,2,0.5039939043642667
Louisiana,2012,3,0.579471806078556
