state,year,month,ndvi
Montana,2000,1,
Montana,2000,2,0.17435104308284946
Montana,2000,3,0.20567995581559345
Montana,2000,4,0.28891509331864207
Montana,2000,5,0.3831290821876958
Montana,2000,6,0.43905780405774614
Montana,2000,7,0.41098084532290935
Montana,2000,8,0.3498448510560279
Montana,2000,9,0.33067656697401326
Montana,2000,10,0.2615451011293564
Montana,2000,11,0.11007512571776674
Montana,2000,12,0.09879021357434328
Montana,2001,1,0.10892644933045877
Montana,2001,2,0.06685200848531368
Montana,2001,3,0.1970068922489123
Montana,2001,4,0.25279457299293606
Montana,2001,5,0.36609816695369396
Montana,2001,6,0.4039285948639946
Montana,2001,7,0.4357328886147015
Montana,2001,8,0.37139453223021796
Montana,2001,9,0.3476627685652896
Montana,2001,10,0.30434232211684514
Montana,2001,11,0.27149386780391377
Montana,2001,12,0.18209944667313274
Montana,2002,1,0.1407849172199994
Montana,2002,2,0.14871303601028285
Montana,2002,3,0.10927020489068623
Montana,2002,4,0.23571173536013104
Montana,2002,5,0.343814826233495
Montana,2002,6,0.4579728180713252
Montana,2002,7,0.42628190971339386
Montana,2002,8,0.4009831359684608
Montana,2002,9,0.36843004839279053
Montana,2002,10,0.32584649443539504
Montana,2002,11,0.25858123105411684
Montana,2002,12,0.23061647575125394
Montana,2003,1,0.1716833447165862
Montana,2003,2,0.09071166677206591
Montana,2003,3,0.1990073412830865
Montana,2003,4,0.3019428611430678
Montana,2003,5,0.42244980813888333
Montana,2003,6,0.48051028436412885
Montana,2003,7,0.39253857125300573
Montana,2003,8,0.3453006116253264
Montana,2003,9,0.32320564699788623
Montana,2003,10,0.3118837883374716
Montana,2003,11,0.15114955730805393
Montana,2003,12,0.1202586166630406
Montana,2004,1,0.03548887126560589
Montana,2004,2,0.07948360594833331
Montana,2004,3,0.20059738715101252
Montana,2004,4,0.29577064857981117
Montana,2004,5,0.3771671400716665
Montana,2004,6,0.4675390729013845
Montana,2004,7,0.4286816088664734
Montana,2004,8,0.39173968873201054
Montana,2004,9,0.3631588181830962
Montana,2004,10,0.3096426728179902
Montana,2004,11,0.2691090020748621
Montana,2004,12,0.22626058737254295
Montana,2005,1,0.1484728376053137
Montana,2005,2,0.2383697900568832
Montana,2005,3,0.23432423759405635
Montana,2005,4,0.29652209367074545
Montana,2005,5,0.4169633651742258
Montana,2005,6,0.5042062843059848
Montana,2005,7,0.44106875985379584
Montana,2005,8,0.38178148534223455
Montana,2005,9,0.3476714424212842
Montana,2005,10,0.3375774050372803
Montana,2005,11,0.25660833029273805
Montana,2005,12,0.11910864556255504
Montana,2006,1,0.18639835228870238
Montana,2006,2,0.17638562871047328
Montana,2006,3,0.18642856601008087
Montana,2006,4,0.313748046869385
Montana,2006,5,0.42186858853554643
Montana,2006,6,0.4648581492285549
Montana,2006,7,0.3884954966772564
Montana,2006,8,0.3518372431127387
Montana,2006,9,0.3487729907209129
Montana,2006,10,0.31631704493167573
Montana,2006,11,0.26050813722067345
Montana,2006,12,0.17843431140873445
Montana,2007,1,0.16096396989981135
Montana,2007,2,0.08113192319909253
Montana,2007,3,0.2492867235517484
Montana,2007,4,0.3287301029528317
Montana,2007,5,0.4593180978833758
Montana,2007,6,0.5019046345199175
Montana,2007,7,0.4132600303870675
Montana,2007,8,0.36240357073910817
Montana,2007,9,0.3363665740992366
Montana,2007,10,0.3207546553812574
Montana,2007,11,0.24434855797972493
Montana,2007,12,0.19702016891816282
Montana,2008,1,0.11421305312807695
Montana,2008,2,0.09408441183207276
Montana,2008,3,0.1804168068745234
Montana,2008,4,0.22049478627036875
Montana,2008,5,0.35812973742879317
Montana,2008,6,0.4712915114061053
Montana,2008,7,0.4231455515100844
Montana,2008,8,0.3737568373968015
Montana,2008,9,0.363502959044671
Montana,2008,10,0.3160127918581513
Montana,2008,11,0.2963847052578126
Montana,2008,12,0.08370559861206066
Montana,2009,1,0.06804364050343005
Montana,2009,2,0.11883590733127519
Montana,2009,3,0.1545443456309766
Montana,2009,4,0.2604263387751898
Montana,2009,5,0.3937610683481885
Montana,2009,6,0.4753538001667755
Montana,2009,7,0.43316707127379434
Montana,2009,8,0.39353503046470556
Montana,2009,9,0.32906041128831776
Montana,2009,10,0.3005605100137509
Montana,2009,11,0.26588353586742886
Montana,2009,12,0.08067523506705723
Montana,2010,1,0.052690363957656056
Montana,2010,2,0.05879890209274668
Montana,2010,3,0.18751761394505045
Montana,2010,4,0.2874867557979445
Montana,2010,5,0.40016330149838203
Montana,2010,6,0.5085272158882067
Montana,2010,7,0.47107192463391623
Montana,2010,8,0.4193244839585559
Montana,2010,9,0.4019045972408155
Montana,2010,10,0.3725682861815009
Montana,2010,11,0.19506548304760338
Montana,2010,12,0.0338838479859199
Montana,2011,1,0.03117730923777486
Montana,2011,2,0.03830674163995389
Montana,2011,3,0.1225934199370199
Montana,2011,4,0.22514680087312156
Montana,2011,5,0.38917693734822145
Montana,2011,6,0.5153641254069127
Montana,2011,7,0.4889808790315897
Montana,2011,8,0.412724465585628
Montana,2011,9,0.3640314962635504
Montana,2011,10,0.3397316636563431
Montana,2011,11,0.25912724425724876
Montana,2011,12,0.19375422146274404
Montana,2012,1,0.16768041365801373
Montana,2012,2,0.16971643651084858
Montana,2012,3,0.2130923191224333
Montana,2012,4,0.2912117746573396
Montana,2012,5,0.39481603551801264
Montana,2012,6,0.44892950286207256
Montana,2012,7,0.4100372778493373
Montana,2012,8,0.36061947057923005
Montana,2012,9,0.32720084355711154
Montana,2012,10,0.2555001602776613
Montana,2012,11,0.17359259971850732
Montana,2012,12,0.11827386299532473
Montana,2013,1,0.07464744773761386
Montana,2013,2,0.11757258404095851
Montana,2013,3,0.17550268575977357
Montana,2013,4,0.23410959523154798
Montana,2013,5,0.40634709679537506
Montana,2013,6,0.5062463979934574
Montana,2013,7,0.47220130337342453
Montana,2013,8,0.418374975083065
Montana,2013,9,0.3935030651980652
Montana,2013,10,0.3572113034255067
Montana,2013,11,0.2846581066588402
Montana,2013,12,0.07773601577041406
Montana,2014,1,0.13180484934211392
Montana,2014,2,0.0758348256691
Montana,2014,3,0.1807117348802448
Montana,2014,4,0.28070218623423693
Montana,2014,5,0.414512923768368
Montana,2014,6,0.49072066521331137
Montana,2014,7,0.446167949234013
Montana,2014,8,0.4185051337731674
Montana,2014,9,0.4182589385801895
Montana,2014,10,0.39562121687137186
Montana,2014,11,0.22738345924988598
Montana,2014,12,0.17338212439300538
Montana,2015,1,0.11637382743840281
Montana,2015,2,0.21526098651207182
Montana,2015,3,0.2756041039005054
Montana,2015,4,0.3303838188782587
Montana,2015,5,0.43611768670852236
Montana,2015,6,0.49153214732070677
Montana,2015,7,0.42435647093518547
Montana,2015,8,0.3921068508865168
Montana,2015,9,0.369456462698187
Montana,2015,10,0.363327078009059
Montana,2015,11,0.25492103437901076
Montana,2015,12,0.13380934372321837
Montana,2016,1,0.06280194269676621
Montana,2016,2,0.21459447230977563
Montana,2016,3,0.2530900712138658
Montana,2016,4,0.34032232873334434
Montana,2016,5,0.44335499786394844
Montana,2016,6,0.4873882854130493
Montana,2016,7,0.4333477472677136
Montana,2016,8,0.39726892782584977
Montana,2016,9,0.3980879019445914
Montana,2016,10,0.3708245769290481
Montana,2016,11,0.32935060122268106
Montana,2016,12,0.10223839930656389
Montana,2017,1,0.052158436662807076
Montana,2017,2,0.1462843595278928
Montana,2017,3,0.24331797408997674
Montana,2017,4,0.35900322515823285
Montana,2017,5,0.44871039189697276
Montana,2017,6,0.45749313240805306
Montana,2017,7,0.40153626408998294
Montana,2017,8,0.35822452512251873
Montana,2017,9,0.3384191674924373
Montana,2017,10,0.3344232259039564
Montana,2017,11,0.20717984925481592
Montana,2017,12,0.13653904433674877
Montana,2018,1,0.03719207416902054
Montana,2018,2,0.03156655239747957
Montana,2018,3,0.061386400987775334
Montana,2018,4,0.26333936768404775
Montana,2018,5,0.47541695918257815
Montana,2018,6,0.5557198380442618
Montana,2018,7,0.47751984821592636
Montana,2018,8,0.4133988365188277
Montana,2018,9,0.38317546235696454
Montana,2018,10,0.35165658524173476
Montana,2018,11,0.243656954767136
Montana,2018,12,0.19245241798828727
Montana,2019,1,0.1284727326561121
Montana,2019,2,0.026656487380157006
Montana,2019,3,0.10693208790691508
Montana,2019,4,0.2972260985194616
Montana,2019,5,0.42947906433344063
Montana,2019,6,0.5444117545720445
Montana,2019,7,0.5172410777599962
Montana,2019,8,0.44819140743173197
Montana,2019,9,0.41631522545764466
Montana,2019,10,0.36629684065064055
Montana,2019,11,0.2788088669367585
Montana,2019,12,0.15235590221063447
Montana,2020,1,0.15376192652092885
Montana,2020,2,0.14728460938432816
Montana,2020,3,0.20516429710964285
Montana,2020,4,0.29935643610702284
Montana,2020,5,0.44884461163747924
Montana,2020,6,0.5450124572634995
