state,year,month,ndvi
Nebraska,2000,1,
Nebraska,2000,2,0.2202036261816792
Nebraska,2000,3,0.240076253599423
Nebraska,2000,4,0.2997948423026479
Nebraska,2000,5,0.4142694173975608
Nebraska,2000,6,0.49340762005503025
Nebraska,2000,7,0.5649221821789967
Nebraska,2000,8,0.4740682876434595
Nebraska,2000,9,0.3336858492412501
Nebraska,2000,10,0.27697290181644585
Nebraska,2000,11,0.11690794714247359
Nebraska,2000,12,0.1633408531923156
Nebraska,2001,1,0.15831231579660973
Nebraska,2001,2,0.04160805812409222
Nebraska,2001,3,0.2241666176219013
Nebraska,2001,4,0.31633071411895436
Nebraska,2001,5,0.435031229469157
Nebraska,2001,6,0.5151069046412915
Nebraska,2001,7,0.5897166409677711
Nebraska,2001,8,0.5458780394708329
Nebraska,2001,9,0.42720059180481534
Nebraska,2001,10,0.3418837926330834
Nebraska,2001,11,0.2898656847918761
Nebraska,2001,12,0.22408577669297772
Nebraska,2002,1,0.23480695949736394
Nebraska,2002,2,0.21916894566266448
Nebraska,2002,3,0.19553219681056672
Nebraska,2002,4,0.2885620162121364
Nebraska,2002,5,0.37465733429026865
Nebraska,2002,6,0.44916505064586093
Nebraska,2002,7,0.45975112346900043
Nebraska,2002,8,0.4590533681037956
Nebraska,2002,9,0.39998202949879963
Nebraska,2002,10,0.3349708762703752
Nebraska,2002,11,0.2868606738842723
Nebraska,2002,12,0.25389417510153284
Nebraska,2003,1,0.1905841550296714
Nebraska,2003,2,0.19150125729806444
Nebraska,2003,3,0.24569593493754302
Nebraska,2003,4,0.34246751292305533
Nebraska,2003,5,0.46703716363140824
Nebraska,2003,6,0.5520474354927162
Nebraska,2003,7,0.550415788490009
Nebraska,2003,8,0.4921045810971042
Nebraska,2003,9,0.3811460143118057
Nebraska,2003,10,0.3148009959049547
Nebraska,2003,11,0.27829553576173505
Nebraska,2003,12,0.21628254884406176
Nebraska,2004,1,0.2379544182711692
Nebraska,2004,2,0.10415152803545469
Nebraska,2004,3,0.2425680955011525
Nebraska,2004,4,0.327913204800858
Nebraska,2004,5,0.4013625751276825
