state,year,month,ndvi
New Jersey,2000,1,
New Jersey,2000,2,0.3816572783029482
New Jersey,2000,3,0.41478446026378635
New Jersey,2000,4,0.4911404974757875
New Jersey,2000,5,0.6656038650408207
New Jersey,2000,6,0.7145366739002467
New Jersey,2000,7,0.7351159168061895
New Jersey,2000,8,0.7325374545467483
New Jersey,2000,9,0.6798460750582257
New Jersey,2000,10,0.5399404435293865
New Jersey,2000,11,0.46553093251799466
New Jersey,2000,12,0.433552119690992
New Jersey,2001,1,0.1869987528452759
New Jersey,2001,2,0.3088125603713463
New Jersey,2001,3,0.37513829029444623
New Jersey,2001,4,0.500132513634066
New Jersey,2001,5,0.661421198987524
New Jersey,2001,6,0.70784769653927
New Jersey,2001,7,0.7157149761522739
New Jersey,2001,8,0.7234299757647963
New Jersey,2001,9,0.6858532818606244
New Jersey,2001,10,0.5382158211675123
New Jersey,2001,11,0.4771288337023697
New Jersey,2001,12,0.46582930204081335
New Jersey,2002,1,0.4289655736676224
New Jersey,2002,2,0.4120329378994041
New Jersey,2002,3,0.4310960294278475
New Jersey,2002,4,0.49560484796596305
New Jersey,2002,5,0.656812967002903
New Jersey,2002,6,0.7120543499304397
New Jersey,2002,7,0.705859869245677
New Jersey,2002,8,0.7014358853356084
New Jersey,2002,9,0.691719762134647
New Jersey,2002,10,0.6355167539204437
New Jersey,2002,11,0.5310506680779604
New Jersey,2002,12,0.3853083757633228
New Jersey,2003,1,0.34373476124736646
New Jersey,2003,2,0.18546158726686082
New Jersey,2003,3,0.35601324219805386
New Jersey,2003,4,0.44909447362737487
New Jersey,2003,5,0.6598144318310097
New Jersey,2003,6,0.7331991352198991
New Jersey,2003,7,0.6650246261005831
New Jersey,2003,8,0.7306642532673997
New Jersey,2003,9,0.6935505297734076
New Jersey,2003,10,0.6181004106411644
New Jersey,2003,11,0.5011314046332317
New Jersey,2003,12,0.4710294407014959
New Jersey,2004,1,0.29456170833813383
New Jersey,2004,2,0.3327128705152027
New Jersey,2004,3,0.39791912932495505
New Jersey,2004,4,0.4727178490635803
New Jersey,2004,5,0.6977143694769707
New Jersey,2004,6,0.7271125637227962
New Jersey,2004,7,0.7383454965259638
New Jersey,2004,8,0.7479663146314254
New Jersey,2004,9,0.696023350346287
New Jersey,2004,10,0.5465391163278843
New Jersey,2004,11,0.4806141998799796
New Jersey,2004,12,0.46660331816840644
New Jersey,2005,1,0.27135359257362407
New Jersey,2005,2,0.2774271305938662
New Jersey,2005,3,0.37169019734533665
New Jersey,2005,4,0.4639698457605234
New Jersey,2005,5,0.6225079765500099
New Jersey,2005,6,0.7262699877315135
New Jersey,2005,7,0.7446711872225493
New Jersey,2005,8,0.7137674852605909
New Jersey,2005,9,0.6752610065571211
New Jersey,2005,10,0.6366783544337561
New Jersey,2005,11,0.5057279896977772
New Jersey,2005,12,0.3899650951144157
New Jersey,2006,1,0.4046402031928376
New Jersey,2006,2,0.40705778040609825
New Jersey,2006,3,0.3989147425669662
New Jersey,2006,4,0.4776476647765521
New Jersey,2006,5,0.6737334289490855
New Jersey,2006,6,0.7194012015043574
New Jersey,2006,7,0.7343108432154131
New Jersey,2006,8,0.7185674359841544
New Jersey,2006,9,0.6822086883077491
New Jersey,2006,10,0.5620074500311973
New Jersey,2006,11,0.49526521452732125
New Jersey,2006,12,0.476357824250172
New Jersey,2007,1,0.45679051599518783
New Jersey,2007,2,0.3435712003469686
