state,year,month,ndvi
Pennsylvania,2000,1,
Pennsylvania,2000,2,0.4066224158994087
Pennsylvania,2000,3,0.43906123894842625
Pennsylvania,2000,4,0.5085304152146627
Pennsylvania,2000,5,0.7374662109436378
Pennsylvania,2000,6,0.8067841884008334
Pennsylvania,2000,7,0.7584889954531029
Pennsylvania,2000,8,0.8123549727666297
Pennsylvania,2000,9,0.7543549245138372
Pennsylvania,2000,10,0.539520099986735
Pennsylvania,2000,11,0.37557571535544493
Pennsylvania,2000,12,0.3037419717538719
Pennsylvania,2001,1,0.11774589884905252
Pennsylvania,2001,2,0.3172798308801762
Pennsylvania,2001,3,0.32899666752860296
Pennsylvania,2001,4,0.48767820969301157
Pennsylvania,2001,5,0.7575126510216794
Pennsylvania,2001,6,0.7927908070763153
Pennsylvania,2001,7,0.8108440578093778
Pennsylvania,2001,8,0.7983520378142035
Pennsylvania,2001,9,0.7398469769200341
Pennsylvania,2001,10,0.5481663157093902
Pennsylvania,2001,11,0.5078056018736021
Pennsylvania,2001,12,0.46186463276557455
Pennsylvania,2002,1,0.36061894692628427
Pennsylvania,2002,2,0.4154666124354595
Pennsylvania,2002,3,0.4158870347796025
Pennsylvania,2002,4,0.5110090973547423
Pennsylvania,2002,5,0.7217006872140294
Pennsylvania,2002,6,0.8077911299726913
Pennsylvania,2002,7,0.8014539930452703
Pennsylvania,2002,8,0.7776711592854321
Pennsylvania,2002,9,0.7561344705366417
Pennsylvania,2002,10,0.6490210745587113
Pennsylvania,2002,11,0.5353470866282944
Pennsylvania,2002,12,0.28274384125212837
Pennsylvania,2003,1,0.1657006646730277
Pennsylvania,2003,2,0.08917497670421438
Pennsylvania,2003,3,0.3138357512426417
Pennsylvania,2003,4,0.49561028398493145
Pennsylvania,2003,5,0.724580738845489
Pennsylvania,2003,6,0.8120502162678153
Pennsylvania,2003,7,0.7889081648943318
Pennsylvania,2003,8,0.8157177305016722
Pennsylvania,2003,9,0.7521093830637359
Pennsylvania,2003,10,0.5974979066579881
Pennsylvania,2003,11,0.529064033632826
Pennsylvania,2003,12,0.35311571130052316
Pennsylvania,2004,1,0.24444693206905577
Pennsylvania,2004,2,0.12148839899735736
Pennsylvania,2004,3,0.3849879404571888
Pennsylvania,2004,4,0.5271623643662376
Pennsylvania,2004,5,0.7632725312251682
Pennsylvania,2004,6,0.8233232353728902
Pennsylvania,2004,7,0.8104801284379699
Pennsylvania,2004,8,0.8271592044858541
Pennsylvania,2004,9,0.7562034992679467
Pennsylvania,2004,10,0.5389216095779551
Pennsylvania,2004,11,0.45860904695845206
Pennsylvania,2004,12,0.4442055318330644
Pennsylvania,2005,1,0.2818073232127432
Pennsylvania,2005,2,0.1888197695516421
Pennsylvania,2005,3,0.3147069187142484
Pennsylvania,2005,4,0.5045241757275507
Pennsylvania,2005,5,0.6689084328052756
Pennsylvania,2005,6,0.8123836196967252
Pennsylvania,2005,7,0.8223895951845107
Pennsylvania,2005,8,0.8049709617095491
Pennsylvania,2005,9,0.7524761262765721
Pennsylvania,2005,10,0.6215141055571044
Pennsylvania,2005,11,0.5294549292249443
Pennsylvania,2005,12,0.1777880288734268
Pennsylvania,2006,1,0.3886467801426421
Pennsylvania,2006,2,0.35778512183116845
Pennsylvania,2006,3,0.4138739649172268
Pennsylvania,2006,4,0.49833444978408775
Pennsylvania,2006,5,0.7087749242946216
Pennsylvania,2006,6,0.7905893492644185
Pennsylvania,2006,7,0.8289916587076709
Pennsylvania,2006,8,0.7996902271745451
Pennsylvania,2006,9,0.7367527980321423
Pennsylvania,2006,10,0.5581015275142619
Pennsylvania,2006,11,0.5180819755557502
Pennsylvania,2006,12,0.47921243645154604
Pennsylvania,2007,1,0.3820582629095718
Pennsylvania,2007,2,0.13847229964202942
Pennsylvania,2007,3,0.33144583010412293
Pennsylvania,2007,4,0.5109119421475434
Pennsylvania,2007,5,0.7395733622256907
Pennsylvania,2007,6,0.8021277275440762
Pennsylvania,2007,7,0.8144688400533089
Pennsylvania,2007,8,0.8239479016498248
Pennsylvania,2007,9,0.7551812382923925
Pennsylvania,2007,10,0.6052904744632892
Pennsylvania,2007,11,0.5416992982625974
Pennsylvania,2007,12,0.24641033147321223
Pennsylvania,2008,1,0.31080929989095435
Pennsylvania,2008,2,0.18809309154834056
Pennsylvania,2008,3,0.36631823013526293
Pennsylvania,2008,4,0.4949678629354185
Pennsylvania,2008,5,0.7273607699646476
Pennsylvania,2008,6,0.7961126143760031
Pennsylvania,2008,7,0.8199974985460782
Pennsylvania,2008,8,0.8034012271445214
Pennsylvania,2008,9,0.735471950228521
Pennsylvania,2008,10,0.5667900323244061
Pennsylvania,2008,11,0.3089056594703247
Pennsylvania,2008,12,0.3911263914641723
Pennsylvania,2009,1,0.18962422932527664
Pennsylvania,2009,2,0.29914928848832617
Pennsylvania,2009,3,0.41038683579094554
Pennsylvania,2009,4,0.4804637962062461
Pennsylvania,2009,5,0.7589430546780384
Pennsylvania,2009,6,0.7986852867899047
Pennsylvania,2009,7,0.8147458718057438
Pennsylvania,2009,8,0.8276766805854469
Pennsylvania,2009,9,0.7264508728238024
Pennsylvania,2009,10,0.5892651010929758
Pennsylvania,2009,11,0.5120287402077922
Pennsylvania,2009,12,0.29596509095165213
Pennsylvania,2010,1,0.23968306079304577
Pennsylvania,2010,2,0.11926692708234997
Pennsylvania,2010,3,0.42124582848187087
Pennsylvania,2010,4,0.6141617893967946
Pennsylvania,2010,5,0.7702311195210078
Pennsylvania,2010,6,0.8107491019105931
Pennsylvania,2010,7,0.8210130244158474
Pennsylvania,2010,8,0.8025681308497524
Pennsylvania,2010,9,0.6962608089227855
Pennsylvania,2010,10,0.5814587520173711
Pennsylvania,2010,11,0.5171291495551815
Pennsylvania,2010,12,0.36117514031099235
Pennsylvania,2011,1,0.2511510899575041
Pennsylvania,2011,2,0.19650934355839547
Pennsylvania,2011,3,0.36652565895220546
Pennsylvania,2011,4,0.5179549077179408
Pennsylvania,2011,5,0.7171019976793784
Pennsylvania,2011,6,0.772029848664973
Pennsylvania,2011,7,0.8088189117671598
Pennsylvania,2011,8,0.8202119079665945
Pennsylvania,2011,9,0.7434647833386542
Pennsylvania,2011,10,0.6340884803691508
Pennsylvania,2011,11,0.5360652071243063
Pennsylvania,2011,12,0.4681178565618576
Pennsylvania,2012,1,0.4152288899840086
Pennsylvania,2012,2,0.4252303051026498
Pennsylvania,2012,3,0.4688373775299329
Pennsylvania,2012,4,0.5687270549017831
Pennsylvania,2012,5,0.7764556723618161
Pennsylvania,2012,6,0.8036218586869476
Pennsylvania,2012,7,0.8245394964986001
Pennsylvania,2012,8,0.811660479567414
Pennsylvania,2012,9,0.7354915747398745
Pennsylvania,2012,10,0.5569781189065294
Pennsylvania,2012,11,0.526186428214566
Pennsylvania,2012,12,0.40852581931380616
Pennsylvania,2013,1,0.23977915363268487
Pennsylvania,2013,2,0.289101796058433
Pennsylvania,2013,3,0.3528179583138933
Pennsylvania,2013,4,0.5126389808925971
Pennsylvania,2013,5,0.7499973617997763
Pennsylvania,2013,6,0.7947553170377063
Pennsylvania,2013,7,0.832061737003423
Pennsylvania,2013,8,0.820968432831753
Pennsylvania,2013,9,0.7180312302431135
Pennsylvania,2013,10,0.5913024540945154
Pennsylvania,2013,11,0.5036153893486806
Pennsylvania,2013,12,0.31634531180230396
Pennsylvania,2014,1,0.2427743719202389
Pennsylvania,2014,2,0.09360830590965372
Pennsylvania,2014,3,0.3563463470202972
Pennsylvania,2014,4,0.47523986516359357
Pennsylvania,2014,5,0.679551201819032
Pennsylvania,2014,6,0.814309971067941
Pennsylvania,2014,7,0.8265721770605784
Pennsylvania,2014,8,0.8222091536004386
Pennsylvania,2014,9,0.7329045759887297
Pennsylvania,2014,10,0.5691862989633157
Pennsylvania,2014,11,0.4793691341116785
Pennsylvania,2014,12,0.4796518457049971
Pennsylvania,2015,1,0.28086424292133993
Pennsylvania,2015,2,0.09704366072691435
Pennsylvania,2015,3,0.2975376302969859
Pennsylvania,2015,4,0.47894378356258244
Pennsylvania,2015,5,0.7439158871062533
Pennsylvania,2015,6,0.8194945778939461
Pennsylvania,2015,7,0.840144301035587
Pennsylvania,2015,8,0.811636220174098
Pennsylvania,2015,9,0.7221815648203812
Pennsylvania,2015,10,0.607332875565207
Pennsylvania,2015,11,0.5441423150373009
Pennsylvania,2015,12,0.5100253559781206
Pennsylvania,2016,1,0.3705226874534227
Pennsylvania,2016,2,0.38008518322150847
Pennsylvania,2016,3,0.4588475545561476
Pennsylvania,2016,4,0.5282709550059039
Pennsylvania,2016,5,0.7265193345819707
Pennsylvania,2016,6,0.7969314804660953
Pennsylvania,2016,7,0.8232555368251271
Pennsylvania,2016,8,0.81925075872877
Pennsylvania,2016,9,0.7527795438042778
Pennsylvania,2016,10,0.5975656003122869
Pennsylvania,2016,11,0.5444940752214825
Pennsylvania,2016,12,0.39756788413727573
Pennsylvania,2017,1,0.35593227684422896
Pennsylvania,2017,2,0.38976875069994543
Pennsylvania,2017,3,0.42680883432435723
Pennsylvania,2017,4,0.5560509521231842
Pennsylvania,2017,5,0.7496873200014953
Pennsylvania,2017,6,0.8068032376476216
Pennsylvania,2017,7,0.8287792015249398
Pennsylvania,2017,8,0.8265177133668217
Pennsylvania,2017,9,0.7680038068662033
Pennsylvania,2017,10,0.6801567354587552
Pennsylvania,2017,11,0.5435760132461939
Pennsylvania,2017,12,0.4716485363583012
Pennsylvania,2018,1,0.3276905547829811
Pennsylvania,2018,2,0.3470130696510483
Pennsylvania,2018,3,0.37530462201235226
Pennsylvania,2018,4,0.4749016242826804
Pennsylvania,2018,5,0.7821243773790509
Pennsylvania,2018,6,0.8247416270788488
Pennsylvania,2018,7,0.8312151905168691
Pennsylvania,2018,8,0.824694202254248
Pennsylvania,2018,9,0.7619287471084011
Pennsylvania,2018,10,0.7096956943762223
Pennsylvania,2018,11,0.4646123907334549
Pennsylvania,2018,12,0.4432524447000351
Pennsylvania,2019,1,0.31794731270499443
Pennsylvania,2019,2,0.26839371768380904
Pennsylvania,2019,3,0.410838157620482
Pennsylvania,2019,4,0.5522431954258377
Pennsylvania,2019,5,0.7806160990659083
Pennsylvania,2019,6,0.8135386317260345
Pennsylvania,2019,7,0.8374319565155042
Pennsylvania,2019,8,0.8091912502659355
Pennsylvania,2019,9,0.7509431827360757
Pennsylvania,2019,10,0.6330599653629331
Pennsylvania,2019,11,0.5379677123371092
Pennsylvania,2019,12,0.43368932036504115
Pennsylvania,2020,1,0.38486790703401597
Pennsylvania,2020,2,0.38612397777301605
Pennsylvania,2020,3,0.4736305562120164
Pennsylvania,2020,4,0.5388672767563913
Pennsylvania,2020,5,0.720438717183544
Pennsylvania,2020,6,0.8190220181968465
Pennsylvania,2020,7,0.8377470623274005
Pennsylvania,2020,8,0.8295642750594027
Pennsylvania,2020,9,0.748000737283374
Pennsylvania,2020,10,0.5824406873164066
Pennsylvania,2020,11,0.5531732826353218
Pennsylvania,2020,12,0.3531042944144348
Pennsylvania,2021,1,0.3457897652573081
Pennsylvania,2021,2,0.18117144137533842
Pennsylvania,2021,3,0.45758475995795117
Pennsylvania,2021,4,0.5665976901295424
Pennsylvania,2021,5,0.769036615051409
Pennsylvania,2021,6,0.826120649995139
Pennsylvania,2021,7,0.8463103974625646
Pennsylvania,2021,8,0.8410556999787587
Pennsylvania,2021,9,0.7798681158878717
Pennsylvania,2021,10,0.7030526777328762
Pennsylvania,2021,11,0.5486108486945057
Pennsylvania,2021,12,0.525263114261779
Pennsylvania,2022,1,0.2989309270153862
Pennsylvania,2022,2,0.3231674717050834
Pennsylvania,2022,3,0.45619400993222853
Pennsylvania,2022,4,0.5388124635446381
Pennsylvania,2022,5,0.7395422229068505
Pennsylvania,2022,6,0.8201737355937034
Pennsylvania,2022,7,0.8274589207105535
Pennsylvania,2022,8,0.8203870028015098
Pennsylvania,2022,9,0.7769399411312683
Pennsylvania,2022,10,0.5645172055838531
Pennsylvania,2022,11,0.5410436869731629
Pennsylvania,2022,12,0.4483854531604381
