state,year,month,ndvi
Utah,2000,1,
Utah,2000,2,0.1366921008952545
Utah,2000,3,0.1527550961718818
Utah,2000,4,0.21456863298030235
Utah,2000,5,0.2589104092092457
Utah,2000,6,0.26861112452112323
Utah,2000,7,0.26263681614255296
Utah,2000,8,0.25685909149018826
Utah,2000,9,0.24588085351780542
Utah,2000,10,0.2007157233198205
Utah,2000,11,0.1508865401921502
Utah,2000,12,0.15920520742581656
Utah,2001,1,0.10483937637880067
Utah,2001,2,0.09626912151967382
Utah,2001,3,0.1647199695968716
Utah,2001,4,0.22184366960863056
Utah,2001,5,0.2781975527567066
Utah,2001,6,0.2830703107827478
Utah,2001,7,0.2694679200849766
Utah,2001,8,0.2637328497882482
Utah,2001,9,0.24076345107795732
Utah,2001,10,0.23259479409352854
Utah,2001,11,0.23015272822175217
Utah,2001,12,0.07863567276119485
Utah,2002,1,0.09952725912296219
Utah,2002,2,0.12070536584676735
Utah,2002,3,0.14474007607177355
Utah,2002,4,0.20918765917526153
Utah,2002,5,0.24266238844099755
Utah,2002,6,0.25222409949404395
Utah,2002,7,0.24989017184851628
Utah,2002,8,0.2433173006739974
Utah,2002,9,0.24339592343237246
Utah,2002,10,0.23415929714921874
Utah,2002,11,0.2108899573533463
Utah,2002,12,0.1635817373876926
Utah,2003,1,0.14615325416624161
Utah,2003,2,0.13630735745797146
Utah,2003,3,0.16639394661353887
Utah,2003,4,0.20342041553418008
Utah,2003,5,0.25508429761370904
Utah,2003,6,0.26777728420211183
Utah,2003,7,0.2616531855345341
Utah,2003,8,0.26232155068371416
Utah,2003,9,0.23067668819339357
Utah,2003,10,0.22075381720345824
Utah,2003,11,0.17732324962697787
Utah,2003,12,0.11399790831340116
Utah,2004,1,0.06103408858103275
Utah,2004,2,0.06223126381566011
Utah,2004,3,0.16008657763519207
Utah,2004,4,0.22776368337872974
Utah,2004,5,0.2675413104588083
Utah,2004,6,0.2815208958217018
Utah,2004,7,0.2739804114233684
Utah,2004,8,0.26506557349059306
Utah,2004,9,0.2453540644244193
Utah,2004,10,0.22325419339928754
Utah,2004,11,0.203258796642446
Utah,2004,12,0.15533566867143847
Utah,2005,1,0.11373297170915103
Utah,2005,2,0.13900996469223534
Utah,2005,3,0.16871235237365942
Utah,2005,4,0.21800653683787327
Utah,2005,5,0.2852720807679036
Utah,2005,6,0.30267233630306695
Utah,2005,7,0.29676240351981553
Utah,2005,8,0.2890298873395092
Utah,2005,9,0.26583395045871105
Utah,2005,10,0.2495180613916331
Utah,2005,11,0.22877868260359924
Utah,2005,12,0.17492769916613155
Utah,2006,1,0.14596433370995368
Utah,2006,2,0.1517608762252389
Utah,2006,3,0.12892427149730346
Utah,2006,4,0.2099590495436653
Utah,2006,5,0.2659377476994488
Utah,2006,6,0.27615207332157055
Utah,2006,7,0.2737204559651162
Utah,2006,8,0.26417598706517614
Utah,2006,9,0.25313676317483036
Utah,2006,10,0.2424914244728267
Utah,2006,11,0.22961194036246607
Utah,2006,12,0.12417274346134377
Utah,2007,1,0.08994547873200442
Utah,2007,2,0.13837644741581606
Utah,2007,3,0.20538516331623083
Utah,2007,4,0.24392642128743844
Utah,2007,5,0.2746281878220187
Utah,2007,6,0.26869630583093707
Utah,2007,7,0.2670206873789288
Utah,2007,8,0.26301662970881784
Utah,2007,9,0.2521571252108894
Utah,2007,10,0.23694044067635647
Utah,2007,11,0.23570594114819549
Utah,2007,12,0.08971914348452896
Utah,2008,1,0.07057412368958631
Utah,2008,2,0.07319947714812253
Utah,2008,3,0.12990808876842186
Utah,2008,4,0.18068953896967252
Utah,2008,5,0.24167654324119509
Utah,2008,6,0.2745354801459762
Utah,2008,7,0.2793556359668823
Utah,2008,8,0.2661979055446586
Utah,2008,9,0.2529223873564943
Utah,2008,10,0.2297679004740248
Utah,2008,11,0.22878948532427668
Utah,2008,12,0.12831656528519086
Utah,2009,1,0.08361755765340075
Utah,2009,2,0.1200297874656867
Utah,2009,3,0.1600743641447381
Utah,2009,4,0.20909774180515567
Utah,2009,5,0.2625509975042541
Utah,2009,6,0.2876589898617468
Utah,2009,7,0.27853420689829056
Utah,2009,8,0.2648839022317781
Utah,2009,9,0.24416635163166986
Utah,2009,10,0.23475991205308533
Utah,2009,11,0.21568933719013622
Utah,2009,12,0.10511619898610425
Utah,2010,1,0.046725959462476145
Utah,2010,2,0.0631348044221155
Utah,2010,3,0.11844667891627053
Utah,2010,4,0.1912169758401071
Utah,2010,5,0.2573958675998194
Utah,2010,6,0.28927592125444695
Utah,2010,7,0.2861663031705916
Utah,2010,8,0.27550975001892025
Utah,2010,9,0.252280366442367
Utah,2010,10,0.2584728903485698
Utah,2010,11,0.19466100606516568
Utah,2010,12,0.12523732832355167
Utah,2011,1,0.07134969321915008
Utah,2011,2,0.11313832203615423
Utah,2011,3,0.1554747256919493
Utah,2011,4,0.20642959472783862
Utah,2011,5,0.2517392485588483
Utah,2011,6,0.29577703255759424
Utah,2011,7,0.30193417738691836
Utah,2011,8,0.293901900667979
Utah,2011,9,0.27920587032180305
Utah,2011,10,0.26317181948236956
Utah,2011,11,0.22062847019245055
Utah,2011,12,0.16171430487000651
Utah,2012,1,0.1677562140340798
Utah,2012,2,0.1412191079561254
Utah,2012,3,0.17915231637780912
Utah,2012,4,0.23310891345646706
Utah,2012,5,0.2613543753902354
Utah,2012,6,0.2601255478257369
Utah,2012,7,0.26513916483389716
Utah,2012,8,0.2651675151471484
Utah,2012,9,0.2484922203645469
Utah,2012,10,0.23232384938665315
Utah,2012,11,0.2203398281301216
Utah,2012,12,0.12798200120795503
Utah,2013,1,0.05380143535474622
Utah,2013,2,0.08573534943354802
Utah,2013,3,0.16906718515954253
Utah,2013,4,0.20893145741823943
Utah,2013,5,0.2666816333176178
Utah,2013,6,0.27324826770204497
Utah,2013,7,0.27526277952141937
Utah,2013,8,0.27191087750741855
Utah,2013,9,0.27479603628474175
Utah,2013,10,0.25302583102952775
Utah,2013,11,0.2263051195615612
Utah,2013,12,0.0739245892220165
Utah,2014,1,0.12373405363136028
Utah,2014,2,0.14705074934313722
Utah,2014,3,0.1962603784456972
Utah,2014,4,0.22376512236541626
Utah,2014,5,0.26338689394683973
Utah,2014,6,0.2716285803151303
Utah,2014,7,0.27087342116053503
Utah,2014,8,0.2755214282689388
Utah,2014,9,0.270138181705049
Utah,2014,10,0.25768040228624545
Utah,2014,11,0.23121701751318602
Utah,2014,12,0.19460244079952485
Utah,2015,1,0.14972718034443333
Utah,2015,2,0.193687385386722
Utah,2015,3,0.20421341262006532
Utah,2015,4,0.226298725903643
Utah,2015,5,0.2731809271729355
Utah,2015,6,0.29706217285439773
Utah,2015,7,0.2862013419693444
Utah,2015,8,0.27078540480640206
Utah,2015,9,0.25644520554338873
Utah,2015,10,0.26033331151500616
Utah,2015,11,0.2139717775994356
Utah,2015,12,0.10758206536840069
Utah,2016,1,0.05538557444029059
Utah,2016,2,0.10674454410032132
Utah,2016,3,0.19310729010400549
Utah,2016,4,0.23046244327124815
Utah,2016,5,0.28036965322184315
Utah,2016,6,0.2911763750961387
Utah,2016,7,0.27825306719886356
Utah,2016,8,0.2675382222736298
Utah,2016,9,0.2571477103008137
Utah,2016,10,0.2546314975982624
Utah,2016,11,0.23750024933091446
Utah,2016,12,0.13756267830446875
Utah,2017,1,0.06730334977417224
Utah,2017,2,0.13777194908540974
Utah,2017,3,0.1953410688192582
Utah,2017,4,0.24535781670353873
Utah,2017,5,0.280586858649628
Utah,2017,6,0.2878886858941956
Utah,2017,7,0.29034191157716777
Utah,2017,8,0.28074413166870427
Utah,2017,9,0.27566228088362904
Utah,2017,10,0.25042531402303336
Utah,2017,11,0.24127044753650312
Utah,2017,12,0.22133040499138612
Utah,2018,1,0.1852353060305202
Utah,2018,2,0.1579695142374687
Utah,2018,3,0.18127522552247663
Utah,2018,4,0.2300033075515756
Utah,2018,5,0.274082125534004
Utah,2018,6,0.27255576220404354
Utah,2018,7,0.2688609750205773
Utah,2018,8,0.2593629145653023
Utah,2018,9,0.2448223169073878
Utah,2018,10,0.24683936540851192
Utah,2018,11,0.2385673565765055
Utah,2018,12,0.13123146061022967
Utah,2019,1,0.08559443333218054
Utah,2019,2,0.05977901383738492
Utah,2019,3,0.14472468217424017
Utah,2019,4,0.23303757277374226
Utah,2019,5,0.2865652922393196
Utah,2019,6,0.31244379760794244
Utah,2019,7,0.3083925991786367
Utah,2019,8,0.29374239771623806
Utah,2019,9,0.27907206825705183
Utah,2019,10,0.24914867718709635
Utah,2019,11,0.22153714876483574
Utah,2019,12,0.12750412237227615
Utah,2020,1,0.10187314936422835
Utah,2020,2,0.1345368677835126
Utah,2020,3,0.17481760375593586
Utah,2020,4,0.2259503612120314
Utah,2020,5,0.2764723072139547
Utah,2020,6,0.28665902366403173
Utah,2020,7,0.2788878973238805
Utah,2020,8,0.2671643919218542
Utah,2020,9,0.24736715813045732
Utah,2020,10,0.2378514880066926
Utah,2020,11,0.2151333678730856
Utah,2020,12,0.17536317956005898
Utah,2021,1,0.13654987295539248
Utah,2021,2,0.14103185368200877
Utah,2021,3,0.1679078105401763
Utah,2021,4,0.2099297557086788
Utah,2021,5,0.25659016538684765
Utah,2021,6,0.2709991847269715
Utah,2021,7,0.27184014444614996
Utah,2021,8,0.27657731915119804
Utah,2021,9,0.26797511960255066
Utah,2021,10,0.25214890985171345
Utah,2021,11,0.2574416511708449
Utah,2021,12,0.17549150506441008
Utah,2022,1,0.13740528320477563
Utah,2022,2,0.1437818316503886
Utah,2022,3,0.17999820053373358
Utah,2022,4,0.2286782267397231
Utah,2022,5,0.261102831978046
Utah,2022,6,0.27488972896412855
Utah,2022,7,0.2723046784008555
Utah,2022,8,0.27443642810995605
Utah,2022,9,0.2745447609302252
Utah,2022,10,0.21973135349620707
Utah,2022,11,0.1865249952550108
Utah,2022,12,0.09912214048086071
Utah,2023,1,0.061363737208523735
Utah,2023,2,0.06117057683758093
Utah,2023,3,
Utah,2023,4,
Utah,2023,5,
Utah,2023,6,
Utah,2023,7,
Utah,2023,8,
Utah,2023,9,
Utah,2023,10,
Utah,2023,11,
Utah,2023,12,
