state,year,month,ndvi
West Virginia,2000,1,
West Virginia,2000,2,0.43259249731027005
West Virginia,2000,3,0.446183240225725
West Virginia,2000,4,0.5187666913084541
West Virginia,2000,5,0.8231256142487566
West Virginia,2000,6,0.8508363625119333
West Virginia,2000,7,0.6932572936276753
West Virginia,2000,8,0.7765298414813833
West Virginia,2000,9,0.8096260169861591
West Virginia,2000,10,0.5420075710631856
West Virginia,2000,11,0.4646441967059666
West Virginia,2000,12,0.36019422352068114
West Virginia,2001,1,0.2576221153631626
West Virginia,2001,2,0.41125328568491554
West Virginia,2001,3,0.4219144803188788
West Virginia,2001,4,0.5159368619391304
West Virginia,2001,5,0.7871168144877007
West Virginia,2001,6,0.8458357205607079
West Virginia,2001,7,0.84447822238856
West Virginia,2001,8,0.8392826686503124
West Virginia,2001,9,0.7936608761331672
West Virginia,2001,10,0.5367255322531561
West Virginia,2001,11,0.4902515668628524
West Virginia,2001,12,0.4688435519499148
West Virginia,2002,1,0.4198623915231033
West Virginia,2002,2,0.4295963322361696
West Virginia,2002,3,0.43304665614649296
West Virginia,2002,4,0.5265361141669632
West Virginia,2002,5,0.8230025892101652
West Virginia,2002,6,0.8489677103600052
West Virginia,2002,7,0.8621472190404155
West Virginia,2002,8,0.8218902178808194
West Virginia,2002,9,0.7949309347464588
West Virginia,2002,10,0.6974893780512369
West Virginia,2002,11,0.5260296427082419
West Virginia,2002,12,0.42032682700495183
West Virginia,2003,1,0.2823753886790509
West Virginia,2003,2,0.2401670140906707
West Virginia,2003,3,0.42284605620741045
West Virginia,2003,4,0.5617238039665202
West Virginia,2003,5,0.8260284146894925
West Virginia,2003,6,0.8487709760949813
West Virginia,2003,7,0.8167960282373022
West Virginia,2003,8,0.8405749904963532
West Virginia,2003,9,0.7813367764497368
West Virginia,2003,10,0.6080926307598264
West Virginia,2003,11,0.5138379173493375
West Virginia,2003,12,0.3567224700482048
West Virginia,2004,1,0.3168813479008219
West Virginia,2004,2,0.3452205771475629
West Virginia,2004,3,0.4383503278910534
West Virginia,2004,4,0.5962275586772032
West Virginia,2004,5,0.8299120597829257
West Virginia,2004,6,0.8381312209395163
West Virginia,2004,7,0.8287247263884769
West Virginia,2004,8,0.8312437947275969
West Virginia,2004,9,0.7842619316027742
West Virginia,2004,10,0.5645605986715003
West Virginia,2004,11,0.31352257755566265
West Virginia,2004,12,0.47315656635205233
West Virginia,2005,1,0.37672611469715045
West Virginia,2005,2,0.3809997896823669
West Virginia,2005,3,0.3985184853413489
West Virginia,2005,4,0.5660220711649977
West Virginia,2005,5,0.7750319551586139
West Virginia,2005,6,0.8479453404140548
West Virginia,2005,7,0.8518621098054376
West Virginia,2005,8,0.8457633238162042
West Virginia,2005,9,0.8042261985980644
West Virginia,2005,10,0.6891173608999579
West Virginia,2005,11,0.5250243774557813
West Virginia,2005,12,0.3914623679320498
West Virginia,2006,1,0.4429895740424866
West Virginia,2006,2,0.39769337966375223
West Virginia,2006,3,0.4383941452412117
West Virginia,2006,4,0.5389619666439197
West Virginia,2006,5,0.8147886708590726
West Virginia,2006,6,0.85087421158933
West Virginia,2006,7,0.8516071451670043
West Virginia,2006,8,0.8196239289600573
West Virginia,2006,9,0.7937395626144153
West Virginia,2006,10,0.5732527057040878
West Virginia,2006,11,0.5138566547598294
West Virginia,2006,12,0.4829165087461831
West Virginia,2007,1,0.434065183522879
West Virginia,2007,2,0.30905718034129975
West Virginia,2007,3,0.4383596644770241
West Virginia,2007,4,0.5815801885521331
West Virginia,2007,5,0.8192344469260858
West Virginia,2007,6,0.8509482773254302
West Virginia,2007,7,0.8467640984132446
West Virginia,2007,8,0.8484476155211751
West Virginia,2007,9,0.8032690624165532
West Virginia,2007,10,0.642490252023899
West Virginia,2007,11,0.544810693304879
West Virginia,2007,12,0.34273792124884045
West Virginia,2008,1,0.4192370204281231
West Virginia,2008,2,0.4113088456179554
West Virginia,2008,3,0.4282854401026679
West Virginia,2008,4,0.5522558249775215
West Virginia,2008,5,0.7921170553303186
West Virginia,2008,6,0.8514224907331833
West Virginia,2008,7,0.8508567720366836
West Virginia,2008,8,0.8405226938908229
West Virginia,2008,9,0.7833033741715314
West Virginia,2008,10,0.5748694200184379
West Virginia,2008,11,0.3970557935124115
West Virginia,2008,12,0.41539024933102536
West Virginia,2009,1,0.3446049325742145
West Virginia,2009,2,0.38182861596183604
West Virginia,2009,3,0.42589720351622046
West Virginia,2009,4,0.4713284873133025
West Virginia,2009,5,0.8256160928778471
West Virginia,2009,6,0.8571959409936397
West Virginia,2009,7,0.834828312717679
West Virginia,2009,8,0.8455616451724982
West Virginia,2009,9,0.7888003531384178
West Virginia,2009,10,0.5720217262111548
