state,year,month,ndvi
Wisconsin,2000,1,
Wisconsin,2000,2,0.32350938673706736
Wisconsin,2000,3,0.36302247931886306
Wisconsin,2000,4,0.4161720108345302
Wisconsin,2000,5,0.6781392159577742
Wisconsin,2000,6,0.7415678831111086
Wisconsin,2000,7,0.8003910292569874
Wisconsin,2000,8,0.7914696865958342
Wisconsin,2000,9,0.6603951878450232
Wisconsin,2000,10,0.49135905041288175
Wisconsin,2000,11,0.1409105524125653
Wisconsin,2000,12,0.10006021111843105
Wisconsin,2001,1,0.05508866706346851
Wisconsin,2001,2,0.03892375288352127
Wisconsin,2001,3,0.09870184219594863
Wisconsin,2001,4,0.4114820514551213
Wisconsin,2001,5,0.6812687533508176
Wisconsin,2001,6,0.7042257499518875
Wisconsin,2001,7,0.782771583218135
Wisconsin,2001,8,0.7905675306129248
Wisconsin,2001,9,0.6526361061523052
Wisconsin,2001,10,0.508485844078937
Wisconsin,2001,11,0.46354588900636184
Wisconsin,2001,12,0.4162778354261406
Wisconsin,2002,1,0.2444623385281393
Wisconsin,2002,2,0.1466519871759409
Wisconsin,2002,3,0.19568631840991896
Wisconsin,2002,4,0.43209738615153775
Wisconsin,2002,5,0.5887183396984667
Wisconsin,2002,6,0.7631325562976802
Wisconsin,2002,7,0.8028083601720819
Wisconsin,2002,8,0.7960800482197793
Wisconsin,2002,9,0.6905156117232525
Wisconsin,2002,10,0.5336636452167075
Wisconsin,2002,11,0.46726058628885214
Wisconsin,2002,12,0.3651124192900882
Wisconsin,2003,1,0.32036291119918264
Wisconsin,2003,2,0.10964330180505645
Wisconsin,2003,3,0.2565450811626141
Wisconsin,2003,4,0.38468550180493594
Wisconsin,2003,5,0.5935030667259382
Wisconsin,2003,6,0.7459054449284758
Wisconsin,2003,7,0.8074354082370955
Wisconsin,2003,8,0.7648191539294817
Wisconsin,2003,9,0.6302521220034601
Wisconsin,2003,10,0.492641264578305
Wisconsin,2003,11,0.4342150151065006
Wisconsin,2003,12,0.2418798368148689
Wisconsin,2004,1,0.16775826520502138
Wisconsin,2004,2,0.06168204386536591
Wisconsin,2004,3,0.2330867574942009
Wisconsin,2004,4,0.41704694910198453
Wisconsin,2004,5,0.6203561388482534
Wisconsin,2004,6,0.7405242671136502
Wisconsin,2004,7,0.7939400812807389
Wisconsin,2004,8,0.7874997618955015
Wisconsin,2004,9,0.6669540594200595
Wisconsin,2004,10,0.4850454418761783
Wisconsin,2004,11,0.4469227001324759
Wisconsin,2004,12,0.293822542110768
Wisconsin,2005,1,0.09772123786999108
Wisconsin,2005,2,0.07572574774494067
Wisconsin,2005,3,0.2114107936469014
Wisconsin,2005,4,0.425935217711227
Wisconsin,2005,5,0.6278452638518395
Wisconsin,2005,6,0.7706854058102199
Wisconsin,2005,7,0.7954004917390771
Wisconsin,2005,8,0.7861741407810795
Wisconsin,2005,9,0.6558717992031532
Wisconsin,2005,10,0.5298600636768194
Wisconsin,2005,11,0.3997564621835659
Wisconsin,2005,12,0.09412049245410745
Wisconsin,2006,1,0.1973565818767883
Wisconsin,2006,2,0.11515529206866951
Wisconsin,2006,3,0.24981260770571367
Wisconsin,2006,4,0.4494581309206331
Wisconsin,2006,5,0.6681676346392436
Wisconsin,2006,6,0.7504732399918302
Wisconsin,2006,7,0.779235865015285
Wisconsin,2006,8,0.7887170848042961
Wisconsin,2006,9,0.6493961884936628
Wisconsin,2006,10,0.5032119037777963
Wisconsin,2006,11,0.4447214451205906
Wisconsin,2006,12,0.3674051598989546
Wisconsin,2007,1,0.1904707799019237
Wisconsin,2007,2,0.09964777228351236
Wisconsin,2007,3,0.2687505286027379
Wisconsin,2007,4,0.43155756566287573
Wisconsin,2007,5,0.6649345619099557
Wisconsin,2007,6,0.7654637861175791
Wisconsin,2007,7,0.7865215540042677
Wisconsin,2007,8,0.7753152208237696
Wisconsin,2007,9,0.6373553767715661
Wisconsin,2007,10,0.5342398240125187
Wisconsin,2007,11,0.4663090856635528
Wisconsin,2007,12,0.0880217598699973
Wisconsin,2008,1,0.07157355470010944
Wisconsin,2008,2,0.054272565611805684
Wisconsin,2008,3,0.12045624946378328
Wisconsin,2008,4,0.3929390921851308
Wisconsin,2008,5,0.5891149470857968
Wisconsin,2008,6,0.737713928059442
Wisconsin,2008,7,0.7993041032124568
Wisconsin,2008,8,0.7784255697255432
Wisconsin,2008,9,0.6457888965473192
Wisconsin,2008,10,0.4877460420870757
Wisconsin,2008,11,0.39605818075322696
Wisconsin,2008,12,0.10599924806388002
Wisconsin,2009,1,0.0696895366962063
Wisconsin,2009,2,0.07794886916700611
Wisconsin,2009,3,0.27758552505660977
Wisconsin,2009,4,0.4008906826731758
Wisconsin,2009,5,0.6194603755406286
Wisconsin,2009,6,0.7646871071034337
Wisconsin,2009,7,0.7909399127940276
Wisconsin,2009,8,0.7982959667974809
Wisconsin,2009,9,0.7041910600869381
Wisconsin,2009,10,0.5299597460078466
Wisconsin,2009,11,0.45968675978730156
Wisconsin,2009,12,0.14430409348372727
Wisconsin,2010,1,0.06674916235815431
Wisconsin,2010,2,0.056786187132994555
Wisconsin,2010,3,0.3565918791126801
Wisconsin,2010,4,0.4720512673203786
Wisconsin,2010,5,0.6530996916223691
Wisconsin,2010,6,0.7722543182408413
Wisconsin,2010,7,0.8177652238599546
Wisconsin,2010,8,0.7745734251485216
Wisconsin,2010,9,0.6201349862537382
Wisconsin,2010,10,0.5058900430460617
Wisconsin,2010,11,0.3786600512790965
Wisconsin,2010,12,0.1428202693171831
Wisconsin,2011,1,0.10517006400774019
Wisconsin,2011,2,0.06575339968154789
Wisconsin,2011,3,0.14430325031122693
Wisconsin,2011,4,0.39991677351305244
Wisconsin,2011,5,0.5982664186050336
Wisconsin,2011,6,0.7520031541355254
Wisconsin,2011,7,0.8219092875659292
Wisconsin,2011,8,0.8024149975447944
Wisconsin,2011,9,0.64542496302645
Wisconsin,2011,10,0.5374858245275435
Wisconsin,2011,11,0.4627401940508033
Wisconsin,2011,12,0.3220363144986316
Wisconsin,2012,1,0.2030231679950228
Wisconsin,2012,2,0.17206792974205057
Wisconsin,2012,3,0.3968639214177294
Wisconsin,2012,4,0.4963475135330452
Wisconsin,2012,5,0.6662918371225299
Wisconsin,2012,6,0.7456415439166697
Wisconsin,2012,7,0.778205567703631
Wisconsin,2012,8,0.7606183114257474
Wisconsin,2012,9,0.5988529442279323
Wisconsin,2012,10,0.4619025844864903
Wisconsin,2012,11,0.4163809924621859
Wisconsin,2012,12,0.26259556713856214
Wisconsin,2013,1,0.12975507526685545
Wisconsin,2013,2,0.06687661122891968
Wisconsin,2013,3,0.0789853701400862
Wisconsin,2013,4,0.3034314899443096
Wisconsin,2013,5,0.5812691873462482
Wisconsin,2013,6,0.7508842526854028
Wisconsin,2013,7,0.7999524525957658
