state,year,yield_bu_acre
ALABAMA,2000,54.0
ALABAMA,2001,48.0
ALABAMA,2002,40.0
ALABAMA,2003,41.0
ALABAMA,2004,48.0
ALABAMA,2005,50.0
ALABAMA,2006,57.0
ALABAMA,2007,42.0
ALABAMA,2008,71.0
ALABAMA,2009,54.0
ALABAMA,2010,55.0
ALABAMA,2011,73.0
ALABAMA,2012,59.0
ALABAMA,2013,69.0
ALABAMA,2014,69.0
ALABAMA,2015,68.0
ALABAMA,2016,70.0
ALABAMA,2017,77.0
ALABAMA,2018,72.0
ALABAMA,2019,72.0
ALABAMA,2020,72.0
ALABAMA,2021,83.0
ALABAMA,2022,72.0
ALABAMA,2023,75.0
ALABAMA,2024,71.0
ARKANSAS,2000,54.0
ARKANSAS,2001,52.0
ARKANSAS,2002,46.0
ARKANSAS,2003,50.0
ARKANSAS,2004,53.0
ARKANSAS,2005,52.0
ARKANSAS,2006,61.0
ARKANSAS,2007,41.0
ARKANSAS,2008,56.0
ARKANSAS,2009,44.0
ARKANSAS,2010,54.0
ARKANSAS,2011,58.0
ARKANSAS,2012,55.0
ARKANSAS,2013,62.0
ARKANSAS,2014,63.0
ARKANSAS,2015,56.0
ARKANSAS,2016,54.0
ARKANSAS,2017,52.0
ARKANSAS,2018,55.0
ARKANSAS,2019,52.0
ARKANSAS,2020,55.0
ARKANSAS,2021,58.0
ARKANSAS,2022,53.0
ARKANSAS,2023,57.0
ARKANSAS,2024,56.0
CALIFORNIA,2000,70.0
CALIFORNIA,2001,70.0
CALIFORNIA,2002,76.0
CALIFORNIA,2003,61.0
CALIFORNIA,2004,85.0
CALIFORNIA,2005,72.0
CALIFORNIA,2006,58.0
CALIFORNIA,2007,81.0
CALIFORNIA,2008,85.0
CALIFORNIA,2009,78.0
CALIFORNIA,2010,80.0
CALIFORNIA,2011,88.0
CALIFORNIA,2012,85.0
CALIFORNIA,2013,80.0
CALIFORNIA,2014,80.0
CALIFORNIA,2015,70.0
CALIFORNIA,2016,78.0
CALIFORNIA,2017,64.0
CALIFORNIA,2018,77.0
CALIFORNIA,2019,50.0
CALIFORNIA,2020,75.0
CALIFORNIA,2021,82.0
CALIFORNIA,2022,73.0
CALIFORNIA,2023,80.0
CALIFORNIA,2024,78.0
COLORADO,2000,29.0
COLORADO,2001,33.0
COLORADO,2002,22.0
COLORADO,2003,35.0
COLORADO,2004,27.0
COLORADO,2005,24.0
COLORADO,2006,21.0
COLORADO,2007,39.0
COLORADO,2008,31.0
COLORADO,2009,40.0
COLORADO,2010,43.0
COLORADO,2011,37.0
COLORADO,2012,31.0
COLORADO,2013,25.0
COLORADO,2014,38.0
COLORADO,2015,37.0
COLORADO,2016,48.0
COLORADO,2017,43.0
COLORADO,2018,36.0
COLORADO,2019,49.0
COLORADO,2020,27.0
COLORADO,2021,37.0
COLORADO,2022,25.0
COLORADO,2023,41.0
COLORADO,2024,35.0
DELAWARE,2000,66.0
DELAWARE,2001,61.0
DELAWARE,2002,70.0
DELAWARE,2003,41.0
DELAWARE,2004,58.0
DELAWARE,2005,70.0
DELAWARE,2006,67.0
DELAWARE,2007,68.0
DELAWARE,2008,77.0
DELAWARE,2009,61.0
DELAWARE,2010,58.0
DELAWARE,2011,69.0
DELAWARE,2012,74.0
DELAWARE,2013,64.0
DELAWARE,2014,72.0
DELAWARE,2015,65.0
DELAWARE,2016,67.0
DELAWARE,2017,73.0
DELAWARE,2018,71.0
DELAWARE,2019,72.0
DELAWARE,2020,73.0
DELAWARE,2021,70.0
DELAWARE,2022,76.0
DELAWARE,2023,92.0
DELAWARE,2024,72.0
GEORGIA,2000,54.0
GEORGIA,2001,53.0
GEORGIA,2002,42.0
GEORGIA,2003,46.0
GEORGIA,2004,45.0
GEORGIA,2005,52.0
GEORGIA,2006,49.0
GEORGIA,2007,40.0
GEORGIA,2008,55.0
GEORGIA,2009,42.0
GEORGIA,2010,40.0
GEORGIA,2011,56.0
GEORGIA,2012,50.0
GEORGIA,2013,60.0
GEORGIA,2014,49.0
GEORGIA,2015,43.0
GEORGIA,2016,46.0
GEORGIA,2017,47.0
GEORGIA,2018,54.0
GEORGIA,2019,56.0
GEORGIA,2020,55.0
GEORGIA,2021,56.0
GEORGIA,2022,58.0
GEORGIA,2023,55.0
GEORGIA,2024,59.0
IDAHO,2000,90.0
IDAHO,2001,73.0
IDAHO,2002,77.0
IDAHO,2003,80.0
IDAHO,2004,90.0
IDAHO,2005,91.0
IDAHO,2006,77.0
IDAHO,2007,73.0
IDAHO,2008,75.0
IDAHO,2009,81.0
IDAHO,2010,82.0
IDAHO,2011,83.0
IDAHO,2012,80.0
IDAHO,2013,86.0
IDAHO,2014,80.0
IDAHO,2015,82.0
IDAHO,2016,94.0
IDAHO,2017,80.0
IDAHO,2018,90.0
IDAHO,2019,87.0
IDAHO,2020,101.0
IDAHO,2021,71.0
IDAHO,2022,90.0
IDAHO,2023,89.0
IDAHO,2024,89.0
ILLINOIS,2000,57.0
ILLINOIS,2001,61.0
ILLINOIS,2002,49.0
ILLINOIS,2003,65.0
ILLINOIS,2004,59.0
ILLINOIS,2005,61.0
ILLINOIS,2006,67.0
ILLINOIS,2007,55.0
ILLINOIS,2008,64.0
ILLINOIS,2009,56.0
ILLINOIS,2010,57.0
ILLINOIS,2011,61.0
ILLINOIS,2012,64.0
ILLINOIS,2013,67.0
ILLINOIS,2014,67.0
ILLINOIS,2015,65.0
ILLINOIS,2016,74.0
ILLINOIS,2017,76.0
ILLINOIS,2018,66.0
ILLINOIS,2019,67.0
ILLINOIS,2020,68.0
ILLINOIS,2021,79.0
ILLINOIS,2022,79.0
ILLINOIS,2023,87.0
ILLINOIS,2024,86.0
INDIANA,2000,69.0
INDIANA,2001,66.0
INDIANA,2002,53.0
INDIANA,2003,68.0
INDIANA,2004,62.0
INDIANA,2005,72.0
INDIANA,2006,68.0
INDIANA,2007,56.0
INDIANA,2008,69.0
INDIANA,2009,67.0
INDIANA,2010,60.0
INDIANA,2011,62.0
INDIANA,2012,67.0
INDIANA,2013,73.0
INDIANA,2014,76.0
INDIANA,2015,68.0
INDIANA,2016,81.0
INDIANA,2017,74.0
INDIANA,2018,71.0
INDIANA,2019,62.0
INDIANA,2020,70.0
INDIANA,2021,85.0
INDIANA,2022,81.0
INDIANA,2023,92.0
INDIANA,2024,89.0
KANSAS,2000,37.0
KANSAS,2001,40.0
KANSAS,2002,33.0
KANSAS,2003,48.0
KANSAS,2004,37.0
KANSAS,2005,40.0
KANSAS,2006,32.0
