state,year,month,tmmx_c,tmmn_c,precip_mm,wind_speed,etr_mm
Kentucky,2000,1,6.224913064064026,-4.526436195533847,3.1433480641875025,4.4941041092667415,2.1249185433727438
Kentucky,2000,2,12.790165476764116,0.07007112802352822,4.099652395693821,4.346132337833014,3.145340458427672
Kentucky,2000,3,17.062883525342215,2.746734757169179,2.9104057726520915,3.903760829077788,4.178140802694434
Kentucky,2000,4,19.097090071327784,5.667513796624405,3.8567776809103353,4.2708283258099495,4.623384583780793
Kentucky,2000,5,26.27171941921523,13.267149092336183,3.8765237173784,4.108472333578751,6.03324418537846
Kentucky,2000,6,28.853766925780292,16.879734697836852,3.7784945145912383,3.5728850637743665,6.249200849294134
Kentucky,2000,7,29.6598822623871,17.94192697089386,3.878574057061094,2.7514051060570557,5.852759471006824
Kentucky,2000,8,29.99648639580215,17.758210829144048,3.1672540909034197,2.9420697095427357,5.607378415222125
Kentucky,2000,9,25.752596172382937,13.078040329602288,2.9275313874556246,3.189483307819895,4.3722576733941345
Kentucky,2000,10,23.11585438209272,7.621316705937431,0.7005615413923156,2.9099849646142886,4.038710736610189
Kentucky,2000,11,11.968978288897915,0.8331297742835773,2.417200766132838,3.8847507434070288,2.3923926777239095
Kentucky,2000,12,1.7470304090020932,-7.9492377669071175,3.2020249030524184,4.09001139487614,1.2486988224341395
Kentucky,2001,1,5.439747265504025,-5.037554547207435,1.7086349944260852,3.5807612207810107,1.5104705324144891
Kentucky,2001,2,10.696024035287508,-0.6965816234655904,3.8768177963859696,4.1428442088084285,2.712700734800531
Kentucky,2001,3,11.347236459872988,-0.5141881935597326,2.3083406659727865,3.9580420183652527,3.131178646600969
Kentucky,2001,4,22.81166944259354,8.645154334413178,1.6630031484117793,4.6208108266945365,6.320986266915136
Kentucky,2001,5,25.393405210873937,12.606628547856019,3.8122862233918373,3.3296052680282706,5.599503830107827
Kentucky,2001,6,28.26710982018062,15.729760966855793,3.3324429911894415,2.700731763879019,5.618461257166327
Kentucky,2001,7,30.291192375455694,18.644781840051166,5.116805217022534,2.6559516626608297,5.581394770206302
Kentucky,2001,8,30.159348454645283,19.0305849358071,3.1042704397886918,2.6511427729803576,5.288526660239679
Kentucky,2001,9,25.555958631712883,12.24822961348849,2.244219762355011,3.204166501030219,4.710868929507263
Kentucky,2001,10,20.731049181563662,5.871651780961258,3.6450098483638547,4.358263690517426,4.592796831043575
Kentucky,2001,11,18.45223998718052,3.1051601349884663,3.77194818663855,3.643557306480068,3.2054501849116415
Kentucky,2001,12,10.404210940407097,-0.0969636729240051,3.688777110833819,3.881425508608559,2.0644138803744023
Kentucky,2002,1,9.812665753724048,-1.8118780770153649,3.197392606148261,4.112475486400419,2.36676604065842
