state,year,month,ndvi
Arizona,2000,1,
Arizona,2000,2,0.20434503656591158
Arizona,2000,3,0.20381674232549404
Arizona,2000,4,0.2069862238858458
Arizona,2000,5,0.19979436605222342
Arizona,2000,6,0.20784406957713605
Arizona,2000,7,0.21683679464286748
Arizona,2000,8,0.2345014706135548
Arizona,2000,9,0.22936121023936595
Arizona,2000,10,0.23694827750183764
Arizona,2000,11,0.23716489591890227
Arizona,2000,12,0.25198759348553157
Arizona,2001,1,0.23211150586258633
Arizona,2001,2,0.2395437754141474
Arizona,2001,3,0.25811532822645467
Arizona,2001,4,0.24823476442638376
Arizona,2001,5,0.23675030424177645
Arizona,2001,6,0.23502742121658962
Arizona,2001,7,0.24914389414315188
Arizona,2001,8,0.25797055601818264
Arizona,2001,9,0.24518206495152464
Arizona,2001,10,0.23682481373446845
Arizona,2001,11,0.23560825919091746
Arizona,2001,12,0.22426529683585777
Arizona,2002,1,0.22237515634573363
Arizona,2002,2,0.21283805195472047
Arizona,2002,3,0.20402786006895213
Arizona,2002,4,0.19607582836555157
Arizona,2002,5,0.18827064716502998
Arizona,2002,6,0.18702206718134667
Arizona,2002,7,0.2074784067392117
Arizona,2002,8,0.2232576465006303
Arizona,2002,9,0.22901899811593723
Arizona,2002,10,0.232762045278231
Arizona,2002,11,0.2271866215287536
Arizona,2002,12,0.21482171116330148
Arizona,2003,1,0.2234620915757756
Arizona,2003,2,0.22409026174379892
Arizona,2003,3,0.2315334529580765
Arizona,2003,4,0.22418714772851542
Arizona,2003,5,0.21446721125428742
Arizona,2003,6,0.20765356013333394
Arizona,2003,7,0.22066062408067216
Arizona,2003,8,0.24373942448821773
Arizona,2003,9,0.2398573265841664
Arizona,2003,10,0.2333610319465638
Arizona,2003,11,0.23326408323290007
Arizona,2003,12,0.22605327644254805
Arizona,2004,1,0.21776879998052137
Arizona,2004,2,0.19844103110168448
Arizona,2004,3,0.21846218827146915
Arizona,2004,4,0.22086069836633115
Arizona,2004,5,0.2078849926606046
Arizona,2004,6,0.20134887208006014
Arizona,2004,7,0.2162479315952703
Arizona,2004,8,0.23287102911695567
Arizona,2004,9,0.2315532667684741
Arizona,2004,10,0.2387248718975896
Arizona,2004,11,0.2504109260522327
Arizona,2004,12,0.25639004172650337
Arizona,2005,1,0.27158793907214857
Arizona,2005,2,0.2899470031032654
Arizona,2005,3,0.288578131836125
Arizona,2005,4,0.26104364584738704
Arizona,2005,5,0.2500844310858209
Arizona,2005,6,0.2435206329360972
Arizona,2005,7,0.25164653543618953
Arizona,2005,8,0.28472848088086467
Arizona,2005,9,0.2599470553335904
Arizona,2005,10,0.25961188078011566
Arizona,2005,11,0.25118368804690827
Arizona,2005,12,0.24771166076604897
Arizona,2006,1,0.23394540146548617
Arizona,2006,2,0.22084350870618152
Arizona,2006,3,0.20753140039119786
Arizona,2006,4,0.21021765573866455
Arizona,2006,5,0.20953537108788578
Arizona,2006,6,0.21117003539066934
Arizona,2006,7,0.23647670373365431
Arizona,2006,8,0.280460959657202
Arizona,2006,9,0.26835651325711746
Arizona,2006,10,0.25072976915701345
Arizona,2006,11,0.24019877767692843
Arizona,2006,12,0.2302065269465586
Arizona,2007,1,0.20719308802327946
Arizona,2007,2,0.20527730615200762
Arizona,2007,3,0.2097409566913189
Arizona,2007,4,0.214154838591034
Arizona,2007,5,0.21011621075775924
Arizona,2007,6,0.20359199863442057
Arizona,2007,7,0.23414624475465146
Arizona,2007,8,0.26409589977669873
Arizona,2007,9,0.24962869844643712
Arizona,2007,10,0.2322540674908584
Arizona,2007,11,0.2267500997793196
Arizona,2007,12,0.22620872055497243
Arizona,2008,1,0.19008997581273657
Arizona,2008,2,0.21769589809813567
Arizona,2008,3,0.22905124111353575
Arizona,2008,4,0.2186203448525272
Arizona,2008,5,0.21681240706902297
Arizona,2008,6,0.2176537677757368
Arizona,2008,7,0.25257269858152626
Arizona,2008,8,0.27243310840109985
Arizona,2008,9,0.2533322116888926
Arizona,2008,10,0.23154655857547607
Arizona,2008,11,0.2289952287777273
Arizona,2008,12,0.21490237087670117
Arizona,2009,1,0.21456930797692778
Arizona,2009,2,0.23012768776268877
Arizona,2009,3,0.2247678056131603
Arizona,2009,4,0.21316410581178794
Arizona,2009,5,0.21834702475367176
Arizona,2009,6,0.22311784846462926
Arizona,2009,7,0.2273311327078557
Arizona,2009,8,0.22983082823007714
Arizona,2009,9,0.22648356326966623
Arizona,2009,10,0.22069318092907425
Arizona,2009,11,0.22152292982242966
Arizona,2009,12,0.20797522501347185
Arizona,2010,1,0.16394575394499492
Arizona,2010,2,0.19417740243817375
Arizona,2010,3,0.23423773661046063
Arizona,2010,4,0.23703178828428792
Arizona,2010,5,0.23005128954643492
Arizona,2010,6,0.23023382487101937
Arizona,2010,7,0.2545914867744007
