state,year,month,ndvi
Colorado,2000,1,
Colorado,2000,2,0.17981058445914458
Colorado,2000,3,0.18518051472825686
Colorado,2000,4,0.2678604957754504
Colorado,2000,5,0.35477552358425235
Colorado,2000,6,0.38027290927805013
Colorado,2000,7,0.4016449951970448
Colorado,2000,8,0.38226897840790963
Colorado,2000,9,0.34077391157635906
Colorado,2000,10,0.26846835113301526
Colorado,2000,11,0.19783938922119018
Colorado,2000,12,0.1966333512887791
Colorado,2001,1,0.14005181022689422
Colorado,2001,2,0.138291026177813
Colorado,2001,3,0.17400289543697106
Colorado,2001,4,0.26121468849581203
Colorado,2001,5,0.4001843817290395
Colorado,2001,6,0.4099969583457281
Colorado,2001,7,0.43562181177945325
Colorado,2001,8,0.41020306616760593
Colorado,2001,9,0.34316821841310613
Colorado,2001,10,0.3097281982048909
Colorado,2001,11,0.2870813376015864
Colorado,2001,12,0.17953942496020736
Colorado,2002,1,0.16325121902112516
Colorado,2002,2,0.16318481377564267
Colorado,2002,3,0.1881938154020303
Colorado,2002,4,0.2628616357558064
Colorado,2002,5,0.3069791632079032
Colorado,2002,6,0.34495916672957305
Colorado,2002,7,0.34569431048297605
Colorado,2002,8,0.3406779374185575
Colorado,2002,9,0.334483202838354
Colorado,2002,10,0.3079301966292545
Colorado,2002,11,0.22636533251357532
Colorado,2002,12,0.2018625912624273
Colorado,2003,1,0.18472352254015678
Colorado,2003,2,0.1485071110237327
Colorado,2003,3,0.173600609054027
Colorado,2003,4,0.24606227892025423
Colorado,2003,5,0.3733482459595592
Colorado,2003,6,0.41630436893690503
Colorado,2003,7,0.3990751475151476
Colorado,2003,8,0.3955266062449303
Colorado,2003,9,0.3445622242207673
Colorado,2003,10,0.3061922149420858
Colorado,2003,11,0.22768091442656993
Colorado,2003,12,0.17865710689372372
Colorado,2004,1,0.15573123981036596
Colorado,2004,2,0.11333620472464366
Colorado,2004,3,0.1973630913985889
Colorado,2004,4,0.2636489183953748
Colorado,2004,5,0.34949972283760283
Colorado,2004,6,0.3966618097430273
Colorado,2004,7,0.43155718840794555
Colorado,2004,8,0.413663625950122
Colorado,2004,9,0.3628393228310732
Colorado,2004,10,0.3029777159627588
Colorado,2004,11,0.2379480041856944
Colorado,2004,12,0.19455383926023545
Colorado,2005,1,0.16335667604058596
Colorado,2005,2,0.16721450689517123
Colorado,2005,3,0.18950630888019204
Colorado,2005,4,0.2558966146782254
Colorado,2005,5,0.362798824142782
Colorado,2005,6,0.41326714314746127
Colorado,2005,7,0.40904006134388154
Colorado,2005,8,0.41391289943270504
Colorado,2005,9,0.3543960414138666
Colorado,2005,10,0.32337811183397214
Colorado,2005,11,0.2739132166501359
Colorado,2005,12,0.19792862526945226
Colorado,2006,1,0.19343669093927243
Colorado,2006,2,0.1905019973613116
Colorado,2006,3,0.1759089811811699
Colorado,2006,4,0.25906840840054796
Colorado,2006,5,0.3307148612131137
Colorado,2006,6,0.36933681015122416
Colorado,2006,7,0.4110834311861628
Colorado,2006,8,0.4192937183256552
Colorado,2006,9,0.36314276973843734
Colorado,2006,10,0.2846402861258554
Colorado,2006,11,0.2644666100423342
Colorado,2006,12,0.12085604188652659
Colorado,2007,1,0.04953748756498182
Colorado,2007,2,0.08471247046819462
Colorado,2007,3,0.23109751943537732
Colorado,2007,4,0.2990656880463657
Colorado,2007,5,0.40186201363115065
Colorado,2007,6,0.42800166954915586
Colorado,2007,7,0.4295150686186281
Colorado,2007,8,0.43208150196214196
Colorado,2007,9,0.3692369712137048
Colorado,2007,10,0.30789162471894815
Colorado,2007,11,0.30376370436915634
Colorado,2007,12,0.12310494389400296
Colorado,2008,1,0.09538587242824668
Colorado,2008,2,0.12521165934195794
Colorado,2008,3,0.1527463089163199
Colorado,2008,4,0.20947690122566073
Colorado,2008,5,0.3071399382718809
Colorado,2008,6,0.3701091381652964
