state,year,month,ndvi
Delaware,2000,1,
Delaware,2000,2,0.42420893029611717
Delaware,2000,3,0.467308655381195
Delaware,2000,4,0.5357626521732997
Delaware,2000,5,0.6008874108829275
Delaware,2000,6,0.6782060763637147
Delaware,2000,7,0.7658408003404829
Delaware,2000,8,0.7350709909557354
Delaware,2000,9,0.6488486467376492
Delaware,2000,10,0.5029181465250783
Delaware,2000,11,0.43744591388466425
Delaware,2000,12,0.40067004814629126
Delaware,2001,1,0.32470613745247895
Delaware,2001,2,0.3616602000229447
Delaware,2001,3,0.39331205222918786
Delaware,2001,4,0.4853479299565166
Delaware,2001,5,0.5932422694135497
Delaware,2001,6,0.6635682770464947
Delaware,2001,7,0.7374314971985999
Delaware,2001,8,0.7512959889548605
Delaware,2001,9,0.6342775850312136
Delaware,2001,10,0.494016016548247
Delaware,2001,11,0.44331240480407264
Delaware,2001,12,0.4663810681003213
Delaware,2002,1,0.4409105694675297
Delaware,2002,2,0.4289262384646134
Delaware,2002,3,0.45879836180781214
Delaware,2002,4,0.5165885275049706
Delaware,2002,5,0.5922398925536525
Delaware,2002,6,0.6558906742115848
Delaware,2002,7,0.6933297068860232
Delaware,2002,8,0.6812810038753774
Delaware,2002,9,0.6465531086560629
Delaware,2002,10,0.6266641701749079
Delaware,2002,11,0.5305161278493071
Delaware,2002,12,0.4395008472499655
Delaware,2003,1,0.36624083301906546
Delaware,2003,2,0.22050535641731223
Delaware,2003,3,0.3959244584579904
Delaware,2003,4,0.49342506149819065
Delaware,2003,5,0.6088179070268898
Delaware,2003,6,0.6716193753607115
Delaware,2003,7,0.6724835896869638
Delaware,2003,8,0.7527409028416131
Delaware,2003,9,0.657876158915824
Delaware,2003,10,0.5391485485880978
Delaware,2003,11,0.47740077769662403
Delaware,2003,12,0.45853513085195713
Delaware,2004,1,0.34165160623987917
Delaware,2004,2,0.36426627892714025
Delaware,2004,3,0.4034962026514679
Delaware,2004,4,0.5054974423949544
Delaware,2004,5,0.6069093000607303
Delaware,2004,6,0.6959946015274757
Delaware,2004,7,0.7652360428020959
Delaware,2004,8,0.7636433716651404
Delaware,2004,9,0.6465701768331233
Delaware,2004,10,0.5336369482852914
Delaware,2004,11,0.4806532905728691
Delaware,2004,12,0.48145180845615965
Delaware,2005,1,0.3173719738268117
Delaware,2005,2,0.39813228295370034
Delaware,2005,3,0.40125336322371946
Delaware,2005,4,0.5125435758886075
Delaware,2005,5,0.5761570346184813
Delaware,2005,6,0.6975005439924812
Delaware,2005,7,0.768787366541444
Delaware,2005,8,0.7344706419054112
Delaware,2005,9,0.6144730147906474
Delaware,2005,10,0.5607568273230301
Delaware,2005,11,0.4789854450858699
Delaware,2005,12,0.4269179736383849
Delaware,2006,1,0.41712844541611116
Delaware,2006,2,0.40885118452394253
Delaware,2006,3,0.41112025150528875
Delaware,2006,4,0.49564372069529355
Delaware,2006,5,0.5796327075444834
Delaware,2006,6,0.6852793272521588
Delaware,2006,7,0.7514626227482006
Delaware,2006,8,0.7145256485300868
Delaware,2006,9,0.641687008668333
Delaware,2006,10,0.5490221704358725
Delaware,2006,11,0.4824654158752859
Delaware,2006,12,0.4765566768287195
Delaware,2007,1,0.46702243709782865
Delaware,2007,2,0.39541710870126817
Delaware,2007,3,0.4099396780202239
Delaware,2007,4,0.5027878889281867
Delaware,2007,5,0.5858203641887914
Delaware,2007,6,0.6817809833811123
Delaware,2007,7,0.6930403275700093
Delaware,2007,8,0.7012132355127566
Delaware,2007,9,0.5818893731083424
Delaware,2007,10,0.5753379981050969
Delaware,2007,11,0.5130993495120925
Delaware,2007,12,0.4677871638718178
Delaware,2008,1,0.44779330213481316
Delaware,2008,2,0.4330286632460281
Delaware,2008,3,0.4530304902752737
Delaware,2008,4,0.519766833603656
Delaware,2008,5,0.6067428863662649
Delaware,2008,6,0.6385545573831579
Delaware,2008,7,0.7240964567643439
Delaware,2008,8,0.6759974724954692
Delaware,2008,9,0.6483456062185652
Delaware,2008,10,0.5298124543792728
Delaware,2008,11,0.4927373356664278
Delaware,2008,12,0.4650661772229547
Delaware,2009,1,0.4183120002167921
Delaware,2009,2,0.3778079780151005
Delaware,2009,3,0.4354346087151151
Delaware,2009,4,0.5079489545613693
Delaware,2009,5,0.6231525857802109
Delaware,2009,6,0.6671736709742241
Delaware,2009,7,0.7305753894690166
Delaware,2009,8,0.772527175984036
Delaware,2009,9,0.6774699265200409
Delaware,2009,10,0.5776964060461698
Delaware,2009,11,0.4932356704562134
Delaware,2009,12,0.4376192843840632
Delaware,2010,1,0.3907753389286577
Delaware,2010,2,0.13748783223089864
Delaware,2010,3,0.4249943797556306
Delaware,2010,4,0.5427360460444807
Delaware,2010,5,0.608107341913231
Delaware,2010,6,0.6625023215763701
Delaware,2010,7,0.7454068892436937
Delaware,2010,8,0.7209515611749706
Delaware,2010,9,0.6095308806950748
Delaware,2010,10,0.5571458064467375
Delaware,2010,11,0.4933933613052834
Delaware,2010,12,0.4456258720986754
Delaware,2011,1,0.3162179508273665
Delaware,2011,2,0.37766820312083405
Delaware,2011,3,0.4432040606780035
Delaware,2011,4,0.5317477667046652
Delaware,2011,5,0.5970604498517531
Delaware,2011,6,0.667742592968787
Delaware,2011,7,0.719302034293143
Delaware,2011,8,0.7356531335089226
Delaware,2011,9,0.6695320759137396
Delaware,2011,10,0.5956296504015735
Delaware,2011,11,0.5284274232492285
Delaware,2011,12,0.4948953577488661
Delaware,2012,1,0.47015776326162306
Delaware,2012,2,0.4574853439552359
Delaware,2012,3,0.49088404760837206
Delaware,2012,4,0.564411519004218
Delaware,2012,5,0.610944831745852
Delaware,2012,6,0.6630427870007031
Delaware,2012,7,0.7243177626937053
Delaware,2012,8,0.7350722296322215
Delaware,2012,9,0.6404095121986276
Delaware,2012,10,0.5339766145472946
Delaware,2012,11,0.48388118065202457
Delaware,2012,12,0.47639907340956106
Delaware,2013,1,0.461259107621319
Delaware,2013,2,0.4257160055238304
Delaware,2013,3,0.44377435129644394
Delaware,2013,4,0.5362839795639129
Delaware,2013,5,0.612218442349349
Delaware,2013,6,0.7030466492765184
Delaware,2013,7,0.7527504258985012
Delaware,2013,8,0.7580853498507796
Delaware,2013,9,0.6361841535764344
Delaware,2013,10,0.5567068908113626
Delaware,2013,11,0.4620805794892307
Delaware,2013,12,0.44840725351281874
Delaware,2014,1,0.4059288995809193
Delaware,2014,2,0.3558390922234991
Delaware,2014,3,0.38187794897323074
Delaware,2014,4,0.4800757291981897
Delaware,2014,5,0.6031950039745787
Delaware,2014,6,0.6702016898650119
Delaware,2014,7,0.7557731805396273
Delaware,2014,8,0.762462724659193
Delaware,2014,9,0.6528153054237109
Delaware,2014,10,0.5740920532490584
Delaware,2014,11,0.4783150408777041
Delaware,2014,12,0.45955056627818514
Delaware,2015,1,0.4104743732650041
Delaware,2015,2,0.24954172420943244
Delaware,2015,3,0.3910419702904333
Delaware,2015,4,0.48857212439753134
Delaware,2015,5,0.6026615331451792
Delaware,2015,6,0.7289028186491564
Delaware,2015,7,0.7741075630654101
Delaware,2015,8,0.7547946475885806
Delaware,2015,9,0.6375383415349183
Delaware,2015,10,0.5430017509435365
Delaware,2015,11,0.5123659812930553
Delaware,2015,12,0.5273426782861269
Delaware,2016,1,0.46562721933391304
Delaware,2016,2,0.4045580425153365
Delaware,2016,3,0.4852484647505546
Delaware,2016,4,0.5109546680141243
Delaware,2016,5,0.605326289597256
Delaware,2016,6,0.6606165240309623
Delaware,2016,7,0.7671844113985401
Delaware,2016,8,0.7419794940664897
Delaware,2016,9,0.6485717673975067
Delaware,2016,10,0.541782237028275
Delaware,2016,11,0.49470294569121626
Delaware,2016,12,0.47533595879258467
Delaware,2017,1,0.43334498148617423
Delaware,2017,2,0.46820385248515495
Delaware,2017,3,0.4643842526817038
Delaware,2017,4,0.5438087293636676
Delaware,2017,5,0.6152912046546971
Delaware,2017,6,0.6863889028745688
Delaware,2017,7,0.7746543447495431
Delaware,2017,8,0.7726601527823957
Delaware,2017,9,0.6647021968131771
Delaware,2017,10,0.6295726880104374
Delaware,2017,11,0.5364574557839433
Delaware,2017,12,0.45971022020873437
Delaware,2018,1,0.4205297472345252
Delaware,2018,2,0.4262581544012298
Delaware,2018,3,0.4556671555087474
Delaware,2018,4,0.508772054407883
Delaware,2018,5,0.6411363664819094
Delaware,2018,6,0.6719216695264799
Delaware,2018,7,0.7335059534075596
Delaware,2018,8,0.7717284367623342
Delaware,2018,9,0.6726558060220816
Delaware,2018,10,0.6070207722974715
Delaware,2018,11,0.5159690292040918
Delaware,2018,12,0.4718671097851038
Delaware,2019,1,0.4303334654014323
Delaware,2019,2,0.4230183550836804
Delaware,2019,3,0.441878185644701
Delaware,2019,4,0.5328033839460464
Delaware,2019,5,0.6380850381942963
Delaware,2019,6,0.7058749575007979
Delaware,2019,7,0.767835636730051
Delaware,2019,8,0.762209803344872
Delaware,2019,9,0.6189508740800731
Delaware,2019,10,0.5624697987270195
Delaware,2019,11,0.49757271760217536
Delaware,2019,12,0.4564205844704443
Delaware,2020,1,0.45899761602817757
Delaware,2020,2,0.4654922973646205
Delaware,2020,3,0.4945647935781127
Delaware,2020,4,0.5591879900684296
Delaware,2020,5,0.6064416914146132
Delaware,2020,6,0.6812531377147378
Delaware,2020,7,0.7751420205194601
Delaware,2020,8,0.7794944950535736
Delaware,2020,9,0.6877419201165065
Delaware,2020,10,0.5740913560834484
Delaware,2020,11,0.5117115481235537
Delaware,2020,12,0.4891763241953044
Delaware,2021,1,0.4572360467438548
Delaware,2021,2,0.4208396015048201
Delaware,2021,3,0.466162621514533
Delaware,2021,4,0.5489506443757762
Delaware,2021,5,0.6099705463158963
Delaware,2021,6,0.7345387067191353
Delaware,2021,7,0.784450319764722
Delaware,2021,8,0.7885437457785897
Delaware,2021,9,0.6853284827332532
Delaware,2021,10,0.6184942456797097
Delaware,2021,11,0.5422479357450563
Delaware,2021,12,0.4971162864337205
Delaware,2022,1,0.44122698777406044
Delaware,2022,2,0.4514348347860427
Delaware,2022,3,0.4919439220063437
Delaware,2022,4,0.5354862802358195
Delaware,2022,5,0.6232131564160122
Delaware,2022,6,0.699499318401285
Delaware,2022,7,0.7735780219464672
Delaware,2022,8,0.7497805838307521
Delaware,2022,9,0.6828471599245715
Delaware,2022,10,0.5238954787982142
Delaware,2022,11,0.5283882337979275
Delaware,2022,12,0.5010245448425147
Delaware,2023,1,0.4855003393676695
Delaware,2023,2,0.4669319360454383
Delaware,2023,3,
Delaware,2023,4,
Delaware,2023,5,
Delaware,2023,6,
Delaware,2023,7,
Delaware,2023,8,
Delaware,2023,9,
Delaware,2023,10,
Delaware,2023,11,
Delaware,2023,12,
