state,year,month,ndvi
Idaho,2000,1,
Idaho,2000,2,0.14313421983125638
Idaho,2000,3,0.2001171818882857
Idaho,2000,4,0.3319762614526211
Idaho,2000,5,0.4472651266150856
Idaho,2000,6,0.49077023073728937
Idaho,2000,7,0.46706278000705764
Idaho,2000,8,0.42603284306936057
Idaho,2000,9,0.4044293937194009
Idaho,2000,10,0.34058042984650516
Idaho,2000,11,0.19295646697536928
Idaho,2000,12,0.1580122987134557
Idaho,2001,1,0.12323931179724106
Idaho,2001,2,0.11644110411903782
Idaho,2001,3,0.22966310366514656
Idaho,2001,4,0.3210689402104718
Idaho,2001,5,0.4537991647800486
Idaho,2001,6,0.43987482052440585
Idaho,2001,7,0.46046014164876553
Idaho,2001,8,0.4217096771357688
Idaho,2001,9,0.40065302711094763
Idaho,2001,10,0.3587882114692349
Idaho,2001,11,0.31998334139540074
Idaho,2001,12,0.09069355679579737
Idaho,2002,1,0.0682499392359509
Idaho,2002,2,0.10603415179488802
Idaho,2002,3,0.13252354402466268
Idaho,2002,4,0.30133415195012203
Idaho,2002,5,0.41349617392190957
Idaho,2002,6,0.5002591684909732
Idaho,2002,7,0.4789174879942543
Idaho,2002,8,0.440340720065954
Idaho,2002,9,0.41502451146280145
Idaho,2002,10,0.38475236155976783
Idaho,2002,11,0.2990710607084396
Idaho,2002,12,0.22484000949416633
Idaho,2003,1,0.1737939999282779
Idaho,2003,2,0.20179991964484537
Idaho,2003,3,0.2404614655642531
Idaho,2003,4,0.32004582616235305
Idaho,2003,5,0.4374614141775944
Idaho,2003,6,0.4852390835335454
Idaho,2003,7,0.45094993826383256
Idaho,2003,8,0.4310679167329623
Idaho,2003,9,0.3975263631152554
Idaho,2003,10,0.38502382274660196
Idaho,2003,11,0.23989617399709975
Idaho,2003,12,0.10308269415522417
Idaho,2004,1,0.06914309369232115
Idaho,2004,2,0.10304877801012556
Idaho,2004,3,0.22485052838290587
Idaho,2004,4,0.36250609933499744
Idaho,2004,5,0.44966067252515135
Idaho,2004,6,0.5050814378478837
Idaho,2004,7,0.48027162680107777
Idaho,2004,8,0.455946188504832
Idaho,2004,9,0.4252480905682784
Idaho,2004,10,0.36286767870253644
Idaho,2004,11,0.3243843714908198
Idaho,2004,12,0.25081499306924865
Idaho,2005,1,0.15805324162839793
Idaho,2005,2,0.21901762403640584
Idaho,2005,3,0.25470815827153387
Idaho,2005,4,0.3556140260347156
Idaho,2005,5,0.4911361715608579
Idaho,2005,6,0.5301832306155663
Idaho,2005,7,0.488089461564595
Idaho,2005,8,0.44628045738875555
Idaho,2005,9,0.4108347316958992
Idaho,2005,10,0.40496673476662376
Idaho,2005,11,0.2773925494600282
Idaho,2005,12,0.14581005394527863
Idaho,2006,1,0.1270537535152044
Idaho,2006,2,0.15838774715529616
Idaho,2006,3,0.15278006687962545
Idaho,2006,4,0.30459533705740627
Idaho,2006,5,0.4458502416809185
Idaho,2006,6,0.5200675032567939
Idaho,2006,7,0.48159992711674554
Idaho,2006,8,0.44001678731488175
Idaho,2006,9,0.41328936955482914
Idaho,2006,10,0.3998217134210365
Idaho,2006,11,0.29666247134850376
Idaho,2006,12,0.19196578891757674
Idaho,2007,1,0.16283936412440653
Idaho,2007,2,0.1574544653685021
Idaho,2007,3,0.28299787036729707
Idaho,2007,4,0.38287992828739126
Idaho,2007,5,0.4663277809248338
Idaho,2007,6,0.48667078225256055
Idaho,2007,7,0.452824653025886
Idaho,2007,8,0.4200689086782272
Idaho,2007,9,0.398604301096565
Idaho,2007,10,0.3927072936434161
Idaho,2007,11,0.3373904248179618
Idaho,2007,12,0.12794386256866191
Idaho,2008,1,0.07392744090246399
Idaho,2008,2,0.08992500908181861
Idaho,2008,3,0.1380358260920696
Idaho,2008,4,0.22836902892505678
Idaho,2008,5,0.37901101960917843
Idaho,2008,6,0.4860006343231488
Idaho,2008,7,0.47774727886134527
Idaho,2008,8,0.4383165329268864
Idaho,2008,9,0.41106931425417426
Idaho,2008,10,0.3638424074655001
Idaho,2008,11,0.3556952928519491
Idaho,2008,12,0.16760284600663744
Idaho,2009,1,0.1202711846479948
Idaho,2009,2,0.1287235750628002
Idaho,2009,3,0.16083917383775237
Idaho,2009,4,0.2999765540878753
Idaho,2009,5,0.4257027837401137
Idaho,2009,6,0.5257418085297907
Idaho,2009,7,0.502746757249998
Idaho,2009,8,0.4595266930168533
Idaho,2009,9,0.40530151070117687
Idaho,2009,10,0.37694436350742133
Idaho,2009,11,0.3260520927410574
Idaho,2009,12,0.19565968004913895
Idaho,2010,1,0.13463103774181134
Idaho,2010,2,0.16497211819728239
Idaho,2010,3,0.21475376521820777
Idaho,2010,4,0.30660157836777174
Idaho,2010,5,0.4110397861767755
Idaho,2010,6,0.510809506825819
Idaho,2010,7,0.49648360168093386
Idaho,2010,8,0.4566538259041979
Idaho,2010,9,0.41518292978100474
Idaho,2010,10,0.40646595268139063
Idaho,2010,11,0.22556134462893007
Idaho,2010,12,0.09785692505252537
Idaho,2011,1,0.10103412126313767
Idaho,2011,2,0.10815665881366363
Idaho,2011,3,0.1588102376609091
Idaho,2011,4,0.2494483732877419
Idaho,2011,5,0.3936064377533104
Idaho,2011,6,0.5017027723422708
Idaho,2011,7,0.513802492074887
Idaho,2011,8,0.4686162401134505
Idaho,2011,9,0.43652064504490373
Idaho,2011,10,0.43309006898567104
Idaho,2011,11,0.321453966155725
Idaho,2011,12,0.2629658689334257
Idaho,2012,1,0.18532416834875498
Idaho,2012,2,0.16498828746723662
Idaho,2012,3,0.2164011263907686
Idaho,2012,4,0.34240442152507156
Idaho,2012,5,0.4284165666931722
Idaho,2012,6,0.484760658709963
Idaho,2012,7,0.4773956150482425
Idaho,2012,8,0.4352403638042457
Idaho,2012,9,0.39375811217356665
Idaho,2012,10,0.33535997326501243
Idaho,2012,11,0.2589473047902925
Idaho,2012,12,0.14139408107859172
Idaho,2013,1,0.08743274166855342
Idaho,2013,2,0.14233728912191035
Idaho,2013,3,0.22389381238362846
Idaho,2013,4,0.3261233764527195
Idaho,2013,5,0.44451098995540506
Idaho,2013,6,0.48989606753105064
Idaho,2013,7,0.46765166314218304
Idaho,2013,8,0.43704036286683107
Idaho,2013,9,0.4205498184204204
Idaho,2013,10,0.40495410134846466
Idaho,2013,11,0.32051711002733235
Idaho,2013,12,0.18383129920555244
Idaho,2014,1,0.19462379960350912
Idaho,2014,2,0.1288905091583304
Idaho,2014,3,0.2491283886745347
Idaho,2014,4,0.32781165909863713
Idaho,2014,5,0.43221378407572486
Idaho,2014,6,0.4771602656692782
Idaho,2014,7,0.46429513251310467
Idaho,2014,8,0.4557319937817902
Idaho,2014,9,0.4284862279615868
Idaho,2014,10,0.4257017557965988
Idaho,2014,11,0.32110206637642474
Idaho,2014,12,0.21842388265507126
Idaho,2015,1,0.15538209269534362
Idaho,2015,2,0.29160031154167126
Idaho,2015,3,0.3311899499635939
Idaho,2015,4,0.38644389581788635
Idaho,2015,5,0.4873739186577638
Idaho,2015,6,0.5118409552466451
Idaho,2015,7,0.47420347004104396
Idaho,2015,8,0.43428296238868974
Idaho,2015,9,0.41172331916673804
Idaho,2015,10,0.4150284392671073
Idaho,2015,11,0.30023680518235807
Idaho,2015,12,0.10618939442181213
Idaho,2016,1,0.08904910908854057
Idaho,2016,2,0.1718785586386445
Idaho,2016,3,0.2638218679634348
Idaho,2016,4,0.39620455563726686
Idaho,2016,5,0.48781024175576376
Idaho,2016,6,0.5096895431120126
Idaho,2016,7,0.46793643258542206
Idaho,2016,8,0.4292226929156003
Idaho,2016,9,0.4118305656709399
Idaho,2016,10,0.39447493162252373
Idaho,2016,11,0.33639351540725
Idaho,2016,12,0.10345527753441788
Idaho,2017,1,0.06438612617878031
Idaho,2017,2,0.09531918930646914
Idaho,2017,3,0.21848808480428708
Idaho,2017,4,0.36318697213672896
Idaho,2017,5,0.46871956458648384
Idaho,2017,6,0.5212034790027246
Idaho,2017,7,0.491774142833884
Idaho,2017,8,0.44694320247988645
Idaho,2017,9,0.4225720313964732
Idaho,2017,10,0.3990150012441278
Idaho,2017,11,0.2816319457092177
Idaho,2017,12,0.18395545277112915
Idaho,2018,1,0.17636384364016425
Idaho,2018,2,0.18342849697832048
Idaho,2018,3,0.20263934696133662
Idaho,2018,4,0.34643750067505524
Idaho,2018,5,0.4956465796282848
Idaho,2018,6,0.5366994269660689
Idaho,2018,7,0.48816127303460066
Idaho,2018,8,0.4440958669867475
Idaho,2018,9,0.40966947757381333
Idaho,2018,10,0.3960247222596533
Idaho,2018,11,0.3148284885106678
Idaho,2018,12,0.1342591619995148
Idaho,2019,1,0.13814348270441032
Idaho,2019,2,0.06129696096764889
Idaho,2019,3,0.16377851856182346
Idaho,2019,4,0.32347872164558306
Idaho,2019,5,0.4529412428605036
Idaho,2019,6,0.5342759337634981
Idaho,2019,7,0.5111648818251758
Idaho,2019,8,0.4663431401383891
Idaho,2019,9,0.4258762408368983
Idaho,2019,10,0.38535813105027705
Idaho,2019,11,0.36811601722383586
Idaho,2019,12,0.15491360874258486
Idaho,2020,1,0.07648463086448301
Idaho,2020,2,0.14095722118646165
Idaho,2020,3,0.2140816186276959
Idaho,2020,4,0.3389654705501586
Idaho,2020,5,0.44889758406473523
Idaho,2020,6,0.5379377808339856
Idaho,2020,7,0.5156318822800444
Idaho,2020,8,0.4657651629929708
Idaho,2020,9,0.4286248279271208
Idaho,2020,10,0.3724425328119672
Idaho,2020,11,0.24749477722425428
Idaho,2020,12,0.21363781465924228
Idaho,2021,1,0.16850076402892109
Idaho,2021,2,0.11899711459084746
Idaho,2021,3,0.20992696773965783
Idaho,2021,4,0.32853845266383597
Idaho,2021,5,0.44904196708277916
Idaho,2021,6,0.5009126441182165
Idaho,2021,7,0.4700058659455607
Idaho,2021,8,0.4520265848629804
Idaho,2021,9,0.4225426050085878
Idaho,2021,10,0.4119645475182851
Idaho,2021,11,0.39013474452551444
Idaho,2021,12,0.17102291756896623
