state,year,month,ndvi
Illinois,2000,1,
Illinois,2000,2,0.295242070291946
Illinois,2000,3,0.32554326302105085
Illinois,2000,4,0.39840984947057473
Illinois,2000,5,0.5028763802871814
Illinois,2000,6,0.7033882135568996
Illinois,2000,7,0.8185739073006849
Illinois,2000,8,0.72633407906402
Illinois,2000,9,0.48700712585374634
Illinois,2000,10,0.3771584602213238
Illinois,2000,11,0.3482101718819435
Illinois,2000,12,0.12367231770449133
Illinois,2001,1,0.07434796969977706
Illinois,2001,2,0.24243651526281976
Illinois,2001,3,0.2900559357498575
Illinois,2001,4,0.39853739001142674
Illinois,2001,5,0.4958531585124845
Illinois,2001,6,0.6868488639247287
Illinois,2001,7,0.80248598936708
Illinois,2001,8,0.7314041632477831
Illinois,2001,9,0.49117386738515634
Illinois,2001,10,0.37085084581971167
Illinois,2001,11,0.3432664149652146
Illinois,2001,12,0.3415583198151611
Illinois,2002,1,0.29519660650568363
Illinois,2002,2,0.2727195183056195
Illinois,2002,3,0.30324842821485454
Illinois,2002,4,0.4011085576656967
Illinois,2002,5,0.4802752323809863
Illinois,2002,6,0.6008738637073276
Illinois,2002,7,0.7673586029637276
Illinois,2002,8,0.7577983140679745
Illinois,2002,9,0.5269423039643539
Illinois,2002,10,0.4084325481553009
Illinois,2002,11,0.3535464417585688
Illinois,2002,12,0.288567939601773
Illinois,2003,1,0.2376239904031133
Illinois,2003,2,0.2383773537369476
Illinois,2003,3,0.28495995879553915
Illinois,2003,4,0.40020398055607764
Illinois,2003,5,0.49341516167971305
Illinois,2003,6,0.6258648516985306
Illinois,2003,7,0.7983328920050453
Illinois,2003,8,0.7527343608794297
Illinois,2003,9,0.5105601200683546
Illinois,2003,10,0.3900606685832832
Illinois,2003,11,0.3518524759636158
Illinois,2003,12,0.31573144367237754
Illinois,2004,1,0.22753604903230887
Illinois,2004,2,0.18919241696813083
Illinois,2004,3,0.32767664486458836
Illinois,2004,4,0.4169854202754424
Illinois,2004,5,0.5195988003446731
Illinois,2004,6,0.7304875789699534
Illinois,2004,7,0.8202533299329371
Illinois,2004,8,0.7210761245641855
Illinois,2004,9,0.49555720277220144
Illinois,2004,10,0.3707507849641447
Illinois,2004,11,0.27047125013653794
Illinois,2004,12,0.3213218681445932
Illinois,2005,1,0.16156838600907086
Illinois,2005,2,0.26567157177024336
Illinois,2005,3,0.2967135666156095
Illinois,2005,4,0.4064382377740659
Illinois,2005,5,0.4693467044833036
Illinois,2005,6,0.6934456925577833
Illinois,2005,7,0.7908071349466973
Illinois,2005,8,0.7202419035917598
Illinois,2005,9,0.4845666760640325
Illinois,2005,10,0.41337810471199077
Illinois,2005,11,0.36716160332821035
Illinois,2005,12,0.20050843809138774
Illinois,2006,1,0.29384481444999805
Illinois,2006,2,0.299951641910317
Illinois,2006,3,0.3346903377904675
Illinois,2006,4,0.42150460561226283
Illinois,2006,5,0.5018031333045844
Illinois,2006,6,0.6736180564972363
Illinois,2006,7,0.8108093138542052
Illinois,2006,8,0.7725759816971549
Illinois,2006,9,0.5142640367451488
Illinois,2006,10,0.38697689364057514
Illinois,2006,11,0.3294697251797591
Illinois,2006,12,0.28019072640420634
Illinois,2007,1,0.2475129412240854
Illinois,2007,2,0.1656054769207145
Illinois,2007,3,0.34035613292985734
Illinois,2007,4,0.3944589776317587
Illinois,2007,5,0.5418632551023139
Illinois,2007,6,0.7349283379886578
Illinois,2007,7,0.8051922547175426
Illinois,2007,8,0.6699106205143559
Illinois,2007,9,0.44361869603101006
Illinois,2007,10,0.3991238582086606
Illinois,2007,11,0.3569245051173759
