state,year,month,ndvi
Kentucky,2000,1,
Kentucky,2000,2,0.4494179680000358
Kentucky,2000,3,0.4978835281716145
Kentucky,2000,4,0.6134146475981241
Kentucky,2000,5,0.740661888347488
Kentucky,2000,6,0.7724407193436581
Kentucky,2000,7,0.739791129292645
Kentucky,2000,8,0.7545474821920781
Kentucky,2000,9,0.7075869885015126
Kentucky,2000,10,0.5294756883270794
Kentucky,2000,11,0.4928754472719954
Kentucky,2000,12,0.32806722544823996
Kentucky,2001,1,0.30868964117491315
Kentucky,2001,2,0.38689786191918696
Kentucky,2001,3,0.4218204675600884
Kentucky,2001,4,0.6029280618801023
Kentucky,2001,5,0.7391868234039346
Kentucky,2001,6,0.7636635879631409
Kentucky,2001,7,0.7923364468136534
Kentucky,2001,8,0.782721796296764
Kentucky,2001,9,0.7025184686181434
Kentucky,2001,10,0.5367519512341193
Kentucky,2001,11,0.4944291362697933
Kentucky,2001,12,0.48911137297624285
Kentucky,2002,1,0.428969173511401
Kentucky,2002,2,0.4250991536733
Kentucky,2002,3,0.4404175067405396
Kentucky,2002,4,0.5958587203752953
Kentucky,2002,5,0.7610694648354063
Kentucky,2002,6,0.772249177662762
Kentucky,2002,7,0.7521012150216605
Kentucky,2002,8,0.7516104400479086
Kentucky,2002,9,0.7229449579351915
Kentucky,2002,10,0.6894846332180119
Kentucky,2002,11,0.5636391192678866
Kentucky,2002,12,0.45604064818275786
Kentucky,2003,1,0.3267227380880913
Kentucky,2003,2,0.3795674196381257
Kentucky,2003,3,0.46235471832919184
Kentucky,2003,4,0.6361655768013977
Kentucky,2003,5,0.7778878840052607
Kentucky,2003,6,0.7618833160402563
Kentucky,2003,7,0.7731841486349157
Kentucky,2003,8,0.798672466938075
Kentucky,2003,9,0.7353239884266889
Kentucky,2003,10,0.6002231932002555
Kentucky,2003,11,0.5363355427688983
Kentucky,2003,12,0.48815928325020286
Kentucky,2004,1,0.4080158224012384
Kentucky,2004,2,0.39666509876448125
Kentucky,2004,3,0.4549096586970108
Kentucky,2004,4,0.6371669693735625
Kentucky,2004,5,0.7708918984231974
Kentucky,2004,6,0.7855753537340011
Kentucky,2004,7,0.8122834658402088
Kentucky,2004,8,0.7991660776112609
Kentucky,2004,9,0.713151223152817
Kentucky,2004,10,0.5718847181024539
Kentucky,2004,11,0.5067671405970805
Kentucky,2004,12,0.4686848265540722
Kentucky,2005,1,0.4441049858252578
Kentucky,2005,2,0.41810249590703646
Kentucky,2005,3,0.4406423436459814
Kentucky,2005,4,0.6272484624247933
Kentucky,2005,5,0.7520989611608543
Kentucky,2005,6,0.7686549807611414
Kentucky,2005,7,0.8007937917209134
Kentucky,2005,8,0.775890111955012
Kentucky,2005,9,0.7238452840699829
Kentucky,2005,10,0.6451019774359439
Kentucky,2005,11,0.5058666657929443
Kentucky,2005,12,0.45127451368125043
Kentucky,2006,1,0.42854460891956064
Kentucky,2006,2,0.4116248496719006
Kentucky,2006,3,0.47047915782466665
Kentucky,2006,4,0.642236068576554
Kentucky,2006,5,0.7709080525952865
Kentucky,2006,6,0.7816244653870766
Kentucky,2006,7,0.8093413520844845
Kentucky,2006,8,0.7922760643612108
Kentucky,2006,9,0.7278563143424694
Kentucky,2006,10,0.5721030213031907
Kentucky,2006,11,0.5079216760396649
Kentucky,2006,12,0.46283951684833546
Kentucky,2007,1,0.45476013863081394
Kentucky,2007,2,0.38623658577304065
Kentucky,2007,3,0.4747837776703886
Kentucky,2007,4,0.5837211286774779
Kentucky,2007,5,0.7467303359271837
Kentucky,2007,6,0.7571525219680236
Kentucky,2007,7,0.7802245794093817
Kentucky,2007,8,0.7254202059678636
Kentucky,2007,9,0.6772099863170936
Kentucky,2007,10,0.632914554491112
Kentucky,2007,11,0.5518892102415269
Kentucky,2007,12,0.4561057872521578
Kentucky,2008,1,0.4568214186990559
Kentucky,2008,2,0.43191572690532704
Kentucky,2008,3,0.46045413766880067
Kentucky,2008,4,0.6033441730936704
Kentucky,2008,5,0.746915102408816
Kentucky,2008,6,0.7612841713723618
Kentucky,2008,7,0.7926260459729991
Kentucky,2008,8,0.7674437141934156
Kentucky,2008,9,0.652971746002649
Kentucky,2008,10,0.5467867495025448
Kentucky,2008,11,0.4645634882496212
Kentucky,2008,12,0.4204644443292668
Kentucky,2009,1,0.36745169796065874
Kentucky,2009,2,0.38918725095424683
Kentucky,2009,3,0.4593220838284342
Kentucky,2009,4,0.52641178020064
Kentucky,2009,5,0.7547284279378919
Kentucky,2009,6,0.775534378437732
Kentucky,2009,7,0.8047235969407482
Kentucky,2009,8,0.8031469997509092
Kentucky,2009,9,0.7359835083397969
Kentucky,2009,10,0.5948545816085313
Kentucky,2009,11,0.5159264258147668
Kentucky,2009,12,0.46004786451964874
Kentucky,2010,1,0.3743828451128201
Kentucky,2010,2,0.27315226929521946
Kentucky,2010,3,0.44686596680450713
Kentucky,2010,4,0.6712760679678695
Kentucky,2010,5,0.7764587530225693
Kentucky,2010,6,0.7873680557539172
Kentucky,2010,7,0.7891169890089916
Kentucky,2010,8,0.7405632009986363
Kentucky,2010,9,0.6303021715000748
