state,year,month,ndvi
Minnesota,2000,1,
Minnesota,2000,2,0.29570204240116543
Minnesota,2000,3,0.30039028232977577
Minnesota,2000,4,0.34204698951725426
Minnesota,2000,5,0.5426554253327169
Minnesota,2000,6,0.6756189293015561
Minnesota,2000,7,0.7734714350038828
Minnesota,2000,8,0.7312236751609418
Minnesota,2000,9,0.5014935507089079
Minnesota,2000,10,0.35634184919215844
Minnesota,2000,11,0.08249790780804725
Minnesota,2000,12,0.057824024395437476
Minnesota,2001,1,0.03964216375988332
Minnesota,2001,2,0.01979569222009133
Minnesota,2001,3,0.012141283002555923
Minnesota,2001,4,0.3047698860255019
Minnesota,2001,5,0.5249683134895756
Minnesota,2001,6,0.6340898438173688
Minnesota,2001,7,0.7569712016881878
Minnesota,2001,8,0.7337405458447831
Minnesota,2001,9,0.5433634857972729
Minnesota,2001,10,0.41112108882387377
Minnesota,2001,11,0.3748941719287952
Minnesota,2001,12,0.207488745602853
Minnesota,2002,1,0.14965619790397108
Minnesota,2002,2,0.1644314111385395
Minnesota,2002,3,0.1107037941383494
Minnesota,2002,4,0.3311940031241382
Minnesota,2002,5,0.42677581476492005
Minnesota,2002,6,0.6877568074121323
Minnesota,2002,7,0.7843807756396618
Minnesota,2002,8,0.7515012353123125
Minnesota,2002,9,0.5764912728715148
Minnesota,2002,10,0.3916822679462857
Minnesota,2002,11,0.34119677814583316
Minnesota,2002,12,0.2650819742741578
Minnesota,2003,1,0.2038695497117294
Minnesota,2003,2,0.10365790735454991
Minnesota,2003,3,0.2272510804759691
Minnesota,2003,4,0.3242323534219043
Minnesota,2003,5,0.49585293705747957
Minnesota,2003,6,0.6922257985877848
Minnesota,2003,7,0.7678899037654716
Minnesota,2003,8,0.7025157599691605
Minnesota,2003,9,0.5209995431623399
Minnesota,2003,10,0.39761336280388127
Minnesota,2003,11,0.279378881592363
Minnesota,2003,12,0.10386277110481774
Minnesota,2004,1,0.12931339030159844
Minnesota,2004,2,0.030966217911324437
Minnesota,2004,3,0.15806385973765968
Minnesota,2004,4,0.31562560323647726
Minnesota,2004,5,0.4639777206614531
Minnesota,2004,6,0.6719258720177401
Minnesota,2004,7,0.7796770035650756
Minnesota,2004,8,0.7560412004403071
Minnesota,2004,9,0.6010551619817358
Minnesota,2004,10,0.41082819981463453
Minnesota,2004,11,0.3814973673091902
Minnesota,2004,12,0.18366754986035905
Minnesota,2005,1,0.06122009429106665
Minnesota,2005,2,0.08467168574373764
Minnesota,2005,3,0.1747539610752568
Minnesota,2005,4,0.35285456229085926
Minnesota,2005,5,0.5167835364939473
Minnesota,2005,6,0.7153426269293925
Minnesota,2005,7,0.7762094197825322
Minnesota,2005,8,0.7475145468914893
Minnesota,2005,9,0.5710651256502465
Minnesota,2005,10,0.43408724454452735
Minnesota,2005,11,0.33708384012698256
Minnesota,2005,12,0.04682920542954361
Minnesota,2006,1,0.04323908509179578
Minnesota,2006,2,0.06500968010031782
Minnesota,2006,3,0.14746794212028183
Minnesota,2006,4,0.3713226449956668
Minnesota,2006,5,0.5680590686680834
Minnesota,2006,6,0.7200641838383296
Minnesota,2006,7,0.7506358536171347
Minnesota,2006,8,0.7247849017443624
Minnesota,2006,9,0.5296353437083975
Minnesota,2006,10,0.39109118507107343
Minnesota,2006,11,0.36310605635608423
Minnesota,2006,12,0.2447432854952692
Minnesota,2007,1,0.132492231231482
Minnesota,2007,2,0.08254925390633314
Minnesota,2007,3,0.16629410787782706
Minnesota,2007,4,0.3417596722255238
Minnesota,2007,5,0.5406047379869172
Minnesota,2007,6,0.7268391551542107
Minnesota,2007,7,0.7584127079100681
Minnesota,2007,8,0.7350292113939736
Minnesota,2007,9,0.5274931865019755
Minnesota,2007,10,0.4373236013557151
Minnesota,2007,11,0.37257645002296047
Minnesota,2007,12,0.05054282099707361
Minnesota,2008,1,0.04953931145666406
Minnesota,2008,2,0.056600105382877956
Minnesota,2008,3,0.12201451051210123
Minnesota,2008,4,0.2882604302190178
Minnesota,2008,5,0.4485082693958265
Minnesota,2008,6,0.671842955311289
Minnesota,2008,7,0.7840963137123609
Minnesota,2008,8,0.7575522295341819
Minnesota,2008,9,0.6057562283144298
Minnesota,2008,10,0.40236091535420054
Minnesota,2008,11,0.32503007751628454
Minnesota,2008,12,0.11155383065600342
Minnesota,2009,1,0.0447841387021472
Minnesota,2009,2,0.06299618013841249
Minnesota,2009,3,0.1369819752070487
Minnesota,2009,4,0.3175270901002565
Minnesota,2009,5,0.48763933759777867
Minnesota,2009,6,0.6962577382802541
Minnesota,2009,7,0.785723219539829
Minnesota,2009,8,0.7682884715852091
Minnesota,2009,9,0.6036596972197399
Minnesota,2009,10,0.40404278187899245
Minnesota,2009,11,0.3836608187918859
Minnesota,2009,12,0.07192988846911687
Minnesota,2010,1,0.029307018199489332
Minnesota,2010,2,0.026144069058270113
