state,year,month,ndvi
Missouri,2000,1,
Missouri,2000,2,0.37475616702339043
Missouri,2000,3,0.420338972885683
Missouri,2000,4,0.5089241257364828
Missouri,2000,5,0.6891169260384986
Missouri,2000,6,0.7544287106572652
Missouri,2000,7,0.8012075835842262
Missouri,2000,8,0.7315187018765319
Missouri,2000,9,0.6262689332073691
Missouri,2000,10,0.5132042509530422
Missouri,2000,11,0.47555395381294596
Missouri,2000,12,0.2347879590432947
Missouri,2001,1,0.2664661493731156
Missouri,2001,2,0.32611310363588236
Missouri,2001,3,0.3578984724082701
Missouri,2001,4,0.5361056047742393
Missouri,2001,5,0.7066569777634757
Missouri,2001,6,0.7302467033985163
Missouri,2001,7,0.7757671397884996
Missouri,2001,8,0.7495849845947895
Missouri,2001,9,0.6685167837986222
Missouri,2001,10,0.5152299946096871
Missouri,2001,11,0.4667229122434936
Missouri,2001,12,0.4459817964317852
Missouri,2002,1,0.36440135292668724
Missouri,2002,2,0.35163629949604236
Missouri,2002,3,0.37760379699073787
Missouri,2002,4,0.5267920678579823
Missouri,2002,5,0.6974347389366639
Missouri,2002,6,0.7227805407847817
Missouri,2002,7,0.7356244677089208
Missouri,2002,8,0.7283246142877845
Missouri,2002,9,0.6264909920943793
Missouri,2002,10,0.5468332896676592
Missouri,2002,11,0.45466402425302094
Missouri,2002,12,0.39838384210769245
Missouri,2003,1,0.34987887640190324
Missouri,2003,2,0.3375054372445956
Missouri,2003,3,0.38396303472162435
Missouri,2003,4,0.5724783757639431
Missouri,2003,5,0.716099297556427
Missouri,2003,6,0.7334806596532534
Missouri,2003,7,0.7416364450483649
Missouri,2003,8,0.6849231889415672
Missouri,2003,9,0.6886807959490867
Missouri,2003,10,0.5912021449538215
Missouri,2003,11,0.5164398929456377
Missouri,2003,12,0.3920785859717366
Missouri,2004,1,0.3785253379826144
Missouri,2004,2,0.27197654207998206
Missouri,2004,3,0.42068204984454327
Missouri,2004,4,0.5842193207924091
Missouri,2004,5,0.7282683419557778
Missouri,2004,6,0.7580621048006451
Missouri,2004,7,0.7940357273871963
Missouri,2004,8,0.764876404937127
Missouri,2004,9,0.6513008622031965
Missouri,2004,10,0.5273479434493534
Missouri,2004,11,0.38365889421088856
Missouri,2004,12,0.4270621131088896
Missouri,2005,1,0.2961300992883453
Missouri,2005,2,0.3528392606570126
Missouri,2005,3,0.38149844288005
Missouri,2005,4,0.5521437061636633
Missouri,2005,5,0.685359752564167
Missouri,2005,6,0.7378151613727453
Missouri,2005,7,0.7191463967480917
Missouri,2005,8,0.7453432316830068
Missouri,2005,9,0.6812748605112192
Missouri,2005,10,0.6009064255287566
Missouri,2005,11,0.4807793841727674
Missouri,2005,12,0.3873473083401818
Missouri,2006,1,0.3799645366442305
Missouri,2006,2,0.36072689237852296
Missouri,2006,3,0.4066965032738984
Missouri,2006,4,0.5802590230262288
Missouri,2006,5,0.7057593959003883
Missouri,2006,6,0.7293557262370275
Missouri,2006,7,0.7438595564815029
Missouri,2006,8,0.7293653710978485
Missouri,2006,9,0.6619614567609614
Missouri,2006,10,0.5444853162601506
Missouri,2006,11,0.44790823011871567
Missouri,2006,12,0.37878475673905526
Missouri,2007,1,0.3172079395496458
Missouri,2007,2,0.3002958741544098
Missouri,2007,3,0.45015974063320074
Missouri,2007,4,0.5021035529036816
Missouri,2007,5,0.6971989351848525
Missouri,2007,6,0.7519323401358743
Missouri,2007,7,0.7400817910724835
Missouri,2007,8,0.7134225313723603
Missouri,2007,9,0.6649023558391826
Missouri,2007,10,0.6135740461671322
Missouri,2007,11,0.4872924441108446
Missouri,2007,12,0.3687615888996978
Missouri,2008,1,0.3416570460839242
Missouri,2008,2,0.32418189707034645
Missouri,2008,3,0.3765429762749247
Missouri,2008,4,0.4955292030559712
Missouri,2008,5,0.6947657636221182
Missouri,2008,6,0.7271901431798798
Missouri,2008,7,0.7695340337635176
Missouri,2008,8,0.7793021299417847
Missouri,2008,9,0.7131512433712853
Missouri,2008,10,0.5344490445408465
Missouri,2008,11,0.4499093334206556
Missouri,2008,12,0.3907195217846252
Missouri,2009,1,0.3433533280044517
Missouri,2009,2,0.33276424328723364
Missouri,2009,3,0.38946179912426865
Missouri,2009,4,0.5051456167487024
