state,year,month,ndvi
Nevada,2000,1,
Nevada,2000,2,0.101461117540198
Nevada,2000,3,0.13841364182755453
Nevada,2000,4,0.18512229233345634
Nevada,2000,5,0.212091494884938
Nevada,2000,6,0.19488509025217
Nevada,2000,7,0.17762369006925569
Nevada,2000,8,0.1726100648007751
Nevada,2000,9,0.17056913003594926
Nevada,2000,10,0.16245160670239384
Nevada,2000,11,0.1442999971767807
Nevada,2000,12,0.153296865194662
Nevada,2001,1,0.0926109595231942
Nevada,2001,2,0.0783457886219072
Nevada,2001,3,0.1535031458516189
Nevada,2001,4,0.1983443192116158
Nevada,2001,5,0.20810866719415544
Nevada,2001,6,0.196996558991223
Nevada,2001,7,0.17722636218945267
Nevada,2001,8,0.17060403207724298
Nevada,2001,9,0.17040611555529073
Nevada,2001,10,0.17017578703100117
Nevada,2001,11,0.16639687124626162
Nevada,2001,12,0.0776893656443482
Nevada,2002,1,0.08943832549004987
Nevada,2002,2,0.10644100435441758
Nevada,2002,3,0.1258292292699265
Nevada,2002,4,0.1842731011860577
Nevada,2002,5,0.20048212886736197
Nevada,2002,6,0.18913377696550923
Nevada,2002,7,0.17741737997000076
Nevada,2002,8,0.17014662022543386
Nevada,2002,9,0.17016908126965613
Nevada,2002,10,0.16804049927872158
Nevada,2002,11,0.17340978623578082
Nevada,2002,12,0.1470332254676122
Nevada,2003,1,0.149229918577181
Nevada,2003,2,0.14595774556308788
Nevada,2003,3,0.16596645700588739
Nevada,2003,4,0.1800995593600629
Nevada,2003,5,0.20533796242685246
Nevada,2003,6,0.18986449528589708
Nevada,2003,7,0.1745487479392145
Nevada,2003,8,0.17398314790434863
Nevada,2003,9,0.16656888223802369
Nevada,2003,10,0.1635712550054174
Nevada,2003,11,0.15687450996304692
Nevada,2003,12,0.07826784147764634
Nevada,2004,1,0.06429507654653753
Nevada,2004,2,0.06151018774374403
Nevada,2004,3,0.15230534304969365
Nevada,2004,4,0.2012656838809269
Nevada,2004,5,0.21030739720158864
Nevada,2004,6,0.1914971193524282
Nevada,2004,7,0.18060590445842079
Nevada,2004,8,0.17672720458447655
Nevada,2004,9,0.1731886269291128
Nevada,2004,10,0.18407423528676398
Nevada,2004,11,0.18236176062755854
Nevada,2004,12,0.17034109328023178
Nevada,2005,1,0.04416229811736161
Nevada,2005,2,0.0943176937065858
Nevada,2005,3,0.17102358174611637
Nevada,2005,4,0.21583649516777392
Nevada,2005,5,0.26345270533630377
