state,year,month,ndvi
New York,2000,1,
New York,2000,2,0.3095949674392836
New York,2000,3,0.37380829046781056
New York,2000,4,0.4593021701132556
New York,2000,5,0.7235524901792819
New York,2000,6,0.791633653124249
New York,2000,7,0.762862699666508
New York,2000,8,0.7980276412890003
New York,2000,9,0.7279213454059511
New York,2000,10,0.5584298803117062
New York,2000,11,0.3488163397255332
New York,2000,12,0.22968053383132683
New York,2001,1,0.11654258325726496
New York,2001,2,0.15467910573826693
New York,2001,3,0.11668159425124845
New York,2001,4,0.4502214399158017
New York,2001,5,0.7436330213349712
New York,2001,6,0.792653764201963
New York,2001,7,0.8072045898779727
New York,2001,8,0.7929464624105331
New York,2001,9,0.7206402443490333
New York,2001,10,0.5663665473716587
New York,2001,11,0.5180616281380497
New York,2001,12,0.409068307234759
New York,2002,1,0.2197722584254488
New York,2002,2,0.2778700920791048
New York,2002,3,0.3599543208105158
New York,2002,4,0.5068718710511515
New York,2002,5,0.692664159640483
New York,2002,6,0.8060675224429035
New York,2002,7,0.8068469045887209
New York,2002,8,0.7885088335914985
New York,2002,9,0.7447805401431236
New York,2002,10,0.5872381007437204
New York,2002,11,0.4360180334788508
New York,2002,12,0.18384418293298094
New York,2003,1,0.11701751585106294
New York,2003,2,0.09740076954025398
New York,2003,3,0.2078687202923203
New York,2003,4,0.4508320341849241
New York,2003,5,0.7112406977347309
New York,2003,6,0.8058483671044341
New York,2003,7,0.791766132526032
New York,2003,8,0.8094563646801305
New York,2003,9,0.7196499534632497
New York,2003,10,0.5495064558354299
New York,2003,11,0.5340116819462106
New York,2003,12,0.2889228046333249
New York,2004,1,0.14916726272431755
New York,2004,2,0.10777425394705786
New York,2004,3,0.30508521664993954
New York,2004,4,0.49786254297967947
New York,2004,5,0.7569551115831383
New York,2004,6,0.7999900336373631
New York,2004,7,0.8056079997807013
New York,2004,8,0.8172708161718697
New York,2004,9,0.7326747009846613
New York,2004,10,0.5535065004709833
New York,2004,11,0.5206934371837418
New York,2004,12,0.3172958546294931
New York,2005,1,0.18337577828294477
New York,2005,2,0.12054037805449078
New York,2005,3,0.23024527786111218
New York,2005,4,0.4858972247907555
New York,2005,5,0.648041895530727
New York,2005,6,0.811425759558972
New York,2005,7,0.8179490616067944
New York,2005,8,0.8021599248684652
New York,2005,9,0.7592862949409229
New York,2005,10,0.6164824808997894
New York,2005,11,0.4765171880342989
New York,2005,12,0.17229347307489484
New York,2006,1,0.2676748666840095
New York,2006,2,0.23289915498605687
New York,2006,3,0.37579807032117807
New York,2006,4,0.48285125954531555
New York,2006,5,0.7027069492960497
New York,2006,6,0.8007290468275927
New York,2006,7,0.816958005971106
New York,2006,8,0.7950201585552638
New York,2006,9,0.699552714405295
New York,2006,10,0.5624636327147516
New York,2006,11,0.5190105005352689
New York,2006,12,0.4569226565171841
New York,2007,1,0.3270344346713755
New York,2007,2,0.10597548501637505
New York,2007,3,0.2305568686125853
New York,2007,4,0.46143373560236045
New York,2007,5,0.7258311478980005
New York,2007,6,0.8020311364716937
New York,2007,7,0.8159854657494069
New York,2007,8,0.8063575315198769
New York,2007,9,0.7378001527774214
New York,2007,10,0.611473532631119
New York,2007,11,0.5409151845789755
