state,year,month,ndvi
North Carolina,2000,1,
North Carolina,2000,2,0.49811644374256486
North Carolina,2000,3,0.5167375704184625
North Carolina,2000,4,0.6143601928150496
North Carolina,2000,5,0.7119558142289764
North Carolina,2000,6,0.7421078489434797
North Carolina,2000,7,0.7215868198627472
North Carolina,2000,8,0.723894428836046
North Carolina,2000,9,0.7343589409958394
North Carolina,2000,10,0.5834954901265194
North Carolina,2000,11,0.5235546011879999
North Carolina,2000,12,0.4894200168473164
North Carolina,2001,1,0.47129916181050097
North Carolina,2001,2,0.47623301433276694
North Carolina,2001,3,0.4861512130596577
North Carolina,2001,4,0.598346779173745
North Carolina,2001,5,0.6981097981405624
North Carolina,2001,6,0.6995342472344833
North Carolina,2001,7,0.7736450951848137
North Carolina,2001,8,0.7851038770862044
North Carolina,2001,9,0.7289198064645364
North Carolina,2001,10,0.6008193681844327
North Carolina,2001,11,0.5264344087673157
North Carolina,2001,12,0.5351060278574803
North Carolina,2002,1,0.5031358009962624
North Carolina,2002,2,0.49730945854865904
North Carolina,2002,3,0.5133176013395113
North Carolina,2002,4,0.6230168445772155
North Carolina,2002,5,0.7082710482122867
North Carolina,2002,6,0.7270029586451298
North Carolina,2002,7,0.7634962669868701
North Carolina,2002,8,0.7628852780560154
North Carolina,2002,9,0.7089030296627176
North Carolina,2002,10,0.6968237856529175
North Carolina,2002,11,0.5973369762344912
North Carolina,2002,12,0.527722907979445
North Carolina,2003,1,0.49197772383377153
North Carolina,2003,2,0.4811767694992201
North Carolina,2003,3,0.5124209771514179
North Carolina,2003,4,0.6378384518152784
North Carolina,2003,5,0.7305465867864473
North Carolina,2003,6,0.7568992868849742
North Carolina,2003,7,0.7555133317521724
North Carolina,2003,8,0.779842049897083
North Carolina,2003,9,0.7397921292695742
North Carolina,2003,10,0.6643655109433444
North Carolina,2003,11,0.582409892561472
North Carolina,2003,12,0.5432738726670769
North Carolina,2004,1,0.5050622392643412
North Carolina,2004,2,0.4777256204489119
North Carolina,2004,3,0.5043069345771778
North Carolina,2004,4,0.6169463552001363
North Carolina,2004,5,0.7253228542710243
North Carolina,2004,6,0.7739149056251606
North Carolina,2004,7,0.7963444389107318
North Carolina,2004,8,0.7593100624878089
North Carolina,2004,9,0.7394360945183693
North Carolina,2004,10,0.6448358836715075
North Carolina,2004,11,0.5770425814994794
North Carolina,2004,12,0.5448889270441997
North Carolina,2005,1,0.512550958994215
North Carolina,2005,2,0.488770430680746
North Carolina,2005,3,0.5036045452231704
North Carolina,2005,4,0.6242652417082017
North Carolina,2005,5,0.7071383882640543
North Carolina,2005,6,0.7589652922261093
North Carolina,2005,7,0.802908831242564
North Carolina,2005,8,0.7830997814369653
North Carolina,2005,9,0.7342818868494008
North Carolina,2005,10,0.697089684589522
North Carolina,2005,11,0.5780794615772885
North Carolina,2005,12,0.5383124980183807
North Carolina,2006,1,0.5135167984975613
North Carolina,2006,2,0.5066789090763933
North Carolina,2006,3,0.5119387780455249
North Carolina,2006,4,0.6250392864652046
