state,year,month,ndvi
North Dakota,2000,1,
North Dakota,2000,2,0.1946366077564115
North Dakota,2000,3,0.21123199200636475
North Dakota,2000,4,0.2540556044236769
North Dakota,2000,5,0.4401549543411838
North Dakota,2000,6,0.6316024289403732
North Dakota,2000,7,0.6360715761970002
North Dakota,2000,8,0.4750889453425713
North Dakota,2000,9,0.36867980920534005
North Dakota,2000,10,0.23679491359457452
North Dakota,2000,11,-0.01531500736883877
North Dakota,2000,12,-0.016432977147786854
North Dakota,2001,1,-0.016929915502049787
North Dakota,2001,2,-0.021735250051367713
North Dakota,2001,3,0.10820549709934926
North Dakota,2001,4,0.22764239465928487
North Dakota,2001,5,0.39928096233389454
North Dakota,2001,6,0.6011679209048834
North Dakota,2001,7,0.6404946192394665
North Dakota,2001,8,0.4732668597311177
North Dakota,2001,9,0.3652441680766212
North Dakota,2001,10,0.2895449508563687
North Dakota,2001,11,0.2664151493757882
North Dakota,2001,12,0.0897277254228473
North Dakota,2002,1,0.08907460840694612
North Dakota,2002,2,0.16715869666085897
North Dakota,2002,3,0.12180814584837897
North Dakota,2002,4,0.22954995526939817
North Dakota,2002,5,0.3030998913480016
North Dakota,2002,6,0.5486765431285583
North Dakota,2002,7,0.5942956394342349
North Dakota,2002,8,0.49561035873475734
North Dakota,2002,9,0.3806354033286136
North Dakota,2002,10,0.212669878968494
North Dakota,2002,11,0.25648958548436823
North Dakota,2002,12,0.1306127752083061
North Dakota,2003,1,0.03063249308298318
North Dakota,2003,2,0.01633015561225456
North Dakota,2003,3,0.1776048361474832
North Dakota,2003,4,0.2643788501632842
North Dakota,2003,5,0.42584783360740125
North Dakota,2003,6,0.6152130384517521
North Dakota,2003,7,0.598102930315082
North Dakota,2003,8,0.4356450057516036
North Dakota,2003,9,0.3456027430603431
North Dakota,2003,10,0.2900706973921242
North Dakota,2003,11,0.05763855184527408
North Dakota,2003,12,0.03281099739379568
North Dakota,2004,1,-0.010105925709398111
North Dakota,2004,2,-0.027084149613312014
North Dakota,2004,3,0.11708106588754064
North Dakota,2004,4,0.2588579882047762
North Dakota,2004,5,0.38183001251212545
North Dakota,2004,6,0.5746599608904338
North Dakota,2004,7,0.6116486848476084
North Dakota,2004,8,0.5111604193259213
North Dakota,2004,9,0.40035277352536863
North Dakota,2004,10,0.2966808738532427
North Dakota,2004,11,0.2635828552740474
North Dakota,2004,12,0.1404862739213163
North Dakota,2005,1,0.024895801089136336
North Dakota,2005,2,0.10887508626887643
North Dakota,2005,3,0.17765788012241618
North Dakota,2005,4,0.26025444533431413
North Dakota,2005,5,0.4312538000422782
North Dakota,2005,6,0.650699421783676
North Dakota,2005,7,0.6175351270354724
North Dakota,2005,8,0.5184653374724476
North Dakota,2005,9,0.38758665308007045
North Dakota,2005,10,0.3195074322775239
North Dakota,2005,11,0.2535574363677925
North Dakota,2005,12,0.1170768414926022
North Dakota,2006,1,0.05184867185470362
North Dakota,2006,2,0.06985203488819688
North Dakota,2006,3,0.14930254813038485
North Dakota,2006,4,0.26154127126122023
North Dakota,2006,5,0.4071832027465297
North Dakota,2006,6,0.5918147762965043
North Dakota,2006,7,0.5000548514520928
North Dakota,2006,8,0.4403529541174148
North Dakota,2006,9,0.3756412480567778
North Dakota,2006,10,0.3241460438055712
North Dakota,2006,11,0.262094196435211
North Dakota,2006,12,0.11811801820475265
North Dakota,2007,1,0.015192528705447496
North Dakota,2007,2,-0.006585207049787302
North Dakota,2007,3,0.14825903688783057
North Dakota,2007,4,0.27691722646738826
North Dakota,2007,5,0.4496591402430013
North Dakota,2007,6,0.6499412281856273
North Dakota,2007,7,0.5890461283730486
North Dakota,2007,8,0.4935668657485058
North Dakota,2007,9,0.36147631113921114
North Dakota,2007,10,0.3037433457361556
North Dakota,2007,11,0.2579292783974554
North Dakota,2007,12,0.05939552974941211
North Dakota,2008,1,0.05313198924452704
North Dakota,2008,2,0.04094653449441807
North Dakota,2008,3,0.1653769677835068
North Dakota,2008,4,0.22818348143664022
North Dakota,2008,5,0.33556955329809796
North Dakota,2008,6,0.5619373137587723
North Dakota,2008,7,0.574528263980778
North Dakota,2008,8,0.5030813930736415
North Dakota,2008,9,0.4132739763379236
North Dakota,2008,10,0.31483975887866195
North Dakota,2008,11,0.15113189394617224
North Dakota,2008,12,0.004607818033888278
North Dakota,2009,1,-0.03572978089955247
North Dakota,2009,2,-0.030290251049844057
North Dakota,2009,3,-0.017194393460916772
North Dakota,2009,4,0.2336127720121951
North Dakota,2009,5,0.3532542177318826
North Dakota,2009,6,0.5645943391469924
North Dakota,2009,7,0.65164930471512
North Dakota,2009,8,0.551529648747965
North Dakota,2009,9,0.3586372878203789
North Dakota,2009,10,0.32064936165290087
North Dakota,2009,11,0.27461272133854053
North Dakota,2009,12,0.005145891303051284
North Dakota,2010,1,-0.03151625558867957
North Dakota,2010,2,-0.03198622621748398
North Dakota,2010,3,0.09180846277854612
North Dakota,2010,4,0.2743297144812794
North Dakota,2010,5,0.41591089629222555
North Dakota,2010,6,0.6299207131977376
North Dakota,2010,7,0.6504777433962773
North Dakota,2010,8,0.5152054488723947
North Dakota,2010,9,0.41386940479105205
North Dakota,2010,10,0.35600660025003994
North Dakota,2010,11,0.1826597137268049
North Dakota,2010,12,-0.023337492575569295
North Dakota,2011,1,-0.03354991637538642
North Dakota,2011,2,-0.03513857499107481
North Dakota,2011,3,-0.011441401192234303
North Dakota,2011,4,0.21215264545579027
North Dakota,2011,5,0.3810662998320705
North Dakota,2011,6,0.5851937082258972
North Dakota,2011,7,0.6607211988583296
North Dakota,2011,8,0.5638787499077382
North Dakota,2011,9,0.4024968890264215
North Dakota,2011,10,0.3510110554541851
North Dakota,2011,11,0.28077380718166256
North Dakota,2011,12,0.19275915928411702
North Dakota,2012,1,0.17063200710047235
North Dakota,2012,2,0.15222327255742688
North Dakota,2012,3,0.22329386934400697
North Dakota,2012,4,0.28082822144742126
North Dakota,2012,5,0.4302441788610731
North Dakota,2012,6,0.6097685421993543
North Dakota,2012,7,0.5879958024423186
North Dakota,2012,8,0.4536181846718124
North Dakota,2012,9,0.3121280674943579
North Dakota,2012,10,0.2186221880546145
North Dakota,2012,11,0.13559192465770595
North Dakota,2012,12,0.06829575975753643
North Dakota,2013,1,-0.008420157435993926
North Dakota,2013,2,0.004847829848817849
North Dakota,2013,3,0.029797786506010688
North Dakota,2013,4,0.10023542747564516
North Dakota,2013,5,0.35641332545157767
North Dakota,2013,6,0.560911225911712
North Dakota,2013,7,0.6611291938144251
North Dakota,2013,8,0.5456802938061907
North Dakota,2013,9,0.4553398318959524
North Dakota,2013,10,0.36346197728436813
North Dakota,2013,11,0.2551901776771156
North Dakota,2013,12,-0.006589239654922006
North Dakota,2014,1,-0.0023260638641093376
North Dakota,2014,2,0.020759119625480285
North Dakota,2014,3,0.15008597140288035
North Dakota,2014,4,0.24429189688961317
North Dakota,2014,5,0.3568437012495959
North Dakota,2014,6,0.5796199746463012
North Dakota,2014,7,0.675735810078245
North Dakota,2014,8,0.5911480756828981
North Dakota,2014,9,0.4469838293466085
North Dakota,2014,10,0.3418441928045747
North Dakota,2014,11,0.19722570709793347
North Dakota,2014,12,0.09447283502463084
North Dakota,2015,1,0.07569024829195795
North Dakota,2015,2,0.057905793868988684
North Dakota,2015,3,0.2124754782601644
North Dakota,2015,4,0.25358121132637274
North Dakota,2015,5,0.39018283308977453
North Dakota,2015,6,0.6262520530864308
North Dakota,2015,7,0.646210090807881
North Dakota,2015,8,0.5133999780821833
North Dakota,2015,9,0.39217621494473565
North Dakota,2015,10,0.34456784060587176
North Dakota,2015,11,0.2975752174889238
North Dakota,2015,12,0.10153911389045407
North Dakota,2016,1,0.01273101092864278
North Dakota,2016,2,0.11541890725891303
North Dakota,2016,3,0.23035475116288198
North Dakota,2016,4,0.27553326645610404
North Dakota,2016,5,0.4279654617976347
North Dakota,2016,6,0.5994071380132103
North Dakota,2016,7,0.6414599009687733
North Dakota,2016,8,0.5433326781450567
North Dakota,2016,9,0.43927750963451256
North Dakota,2016,10,0.35101470645236854
North Dakota,2016,11,0.3033876110792809
North Dakota,2016,12,-0.01310204959664705
North Dakota,2017,1,-0.03065764096494469
North Dakota,2017,2,0.011000264418758638
North Dakota,2017,3,0.1519996951739445
North Dakota,2017,4,0.2913841527391247
North Dakota,2017,5,0.39159459432508636
North Dakota,2017,6,0.5244173372140685
North Dakota,2017,7,0.5732641859509963
North Dakota,2017,8,0.5401853792209235
North Dakota,2017,9,0.4514570329532531
North Dakota,2017,10,0.3540034974910302
North Dakota,2017,11,0.19647438841413764
North Dakota,2017,12,0.1303341954082497
North Dakota,2018,1,0.02504157272728418
North Dakota,2018,2,0.010382441803235417
North Dakota,2018,3,0.003354008631509293
North Dakota,2018,4,0.2129693711314624
North Dakota,2018,5,0.40664593074753097
North Dakota,2018,6,0.6388310755687134
North Dakota,2018,7,0.6838748169486201
North Dakota,2018,8,0.5155658454157781
North Dakota,2018,9,0.37100869147776017
North Dakota,2018,10,0.3134852812873118
North Dakota,2018,11,0.11440506956181451
North Dakota,2018,12,0.09738552736814401
North Dakota,2019,1,0.010265509696525515
North Dakota,2019,2,-0.020642329454755616
North Dakota,2019,3,0.024753440105327092
North Dakota,2019,4,0.25312128123524424
North Dakota,2019,5,0.36728020746641954
North Dakota,2019,6,0.5961798244374215
North Dakota,2019,7,0.7032004710370645
North Dakota,2019,8,0.6081241138450497
North Dakota,2019,9,0.5099452515633988
North Dakota,2019,10,0.39046931285934394
North Dakota,2019,11,0.2435135570807813
North Dakota,2019,12,0.02041155146592145
North Dakota,2020,1,0.008879686685535742
North Dakota,2020,2,0.04553864015814511
North Dakota,2020,3,0.1481545005974475
North Dakota,2020,4,0.25743284180879306
North Dakota,2020,5,0.37324594267376976
North Dakota,2020,6,0.5758158247678017
North Dakota,2020,7,0.6759477422755853
North Dakota,2020,8,0.5695557497994732
North Dakota,2020,9,0.37727456159872885
North Dakota,2020,10,0.26103375667557616
North Dakota,2020,11,0.2678782904082988
North Dakota,2020,12,0.22120218003139241
North Dakota,2021,1,0.10560370600564739
North Dakota,2021,2,0.13281892641055196
North Dakota,2021,3,0.22536559676259837
North Dakota,2021,4,0.24192313250957678
North Dakota,2021,5,0.3211108707132698
North Dakota,2021,6,0.5172545717561717
North Dakota,2021,7,0.5714657971100311
North Dakota,2021,8,0.5045637722062686
North Dakota,2021,9,0.42604055023649134
North Dakota,2021,10,0.37128051885926433
North Dakota,2021,11,0.28656262696144247
North Dakota,2021,12,0.07274237453254802
North Dakota,2022,1,0.0066023630453617135
North Dakota,2022,2,0.023929332620351917
North Dakota,2022,3,0.18205500638374733
North Dakota,2022,4,0.24150674857345628
North Dakota,2022,5,0.3651685509818947
North Dakota,2022,6,0.5979968606135265
North Dakota,2022,7,0.6932056473938619
North Dakota,2022,8,0.5747645400120466
North Dakota,2022,9,0.3988096299404023
North Dakota,2022,10,0.2886316717630903
North Dakota,2022,11,0.15560396072902988
North Dakota,2022,12,-0.010928786263925341
North Dakota,2023,1,-0.03593309581764121
North Dakota,2023,2,-0.037535334971726945
North Dakota,2023,3,
North Dakota,2023,4,
North Dakota,2023,5,
North Dakota,2023,6,
North Dakota,2023,7,
North Dakota,2023,8,
North Dakota,2023,9,
North Dakota,2023,10,
North Dakota,2023,11,
North Dakota,2023,12,
