state,year,month,ndvi
South Carolina,2000,1,
South Carolina,2000,2,0.517012440684929
South Carolina,2000,3,0.5401082728774108
South Carolina,2000,4,0.650139277220144
South Carolina,2000,5,0.6880044297483954
South Carolina,2000,6,0.7033988011658193
South Carolina,2000,7,0.661749239309842
South Carolina,2000,8,0.7107891666737617
South Carolina,2000,9,0.7181886497190559
South Carolina,2000,10,0.6205581570145092
South Carolina,2000,11,0.5573761617674611
South Carolina,2000,12,0.5376356694474187
South Carolina,2001,1,0.5041936497744938
South Carolina,2001,2,0.5029849055567205
South Carolina,2001,3,0.5190296014431109
South Carolina,2001,4,0.6272112757081647
South Carolina,2001,5,0.6939569717180449
South Carolina,2001,6,0.5869445788779815
South Carolina,2001,7,0.7467418974288575
South Carolina,2001,8,0.7424773075478303
South Carolina,2001,9,0.71497458204961
South Carolina,2001,10,0.6375928159134951
South Carolina,2001,11,0.5526689446890293
South Carolina,2001,12,0.5580869214016194
South Carolina,2002,1,0.5226812346963361
South Carolina,2002,2,0.5119077635630993
South Carolina,2002,3,0.5237099206094985
South Carolina,2002,4,0.6608606786934018
South Carolina,2002,5,0.7011311465945381
South Carolina,2002,6,0.7120914964472417
South Carolina,2002,7,0.7221354249037704
South Carolina,2002,8,0.7366760926680234
South Carolina,2002,9,0.7062460856716453
South Carolina,2002,10,0.7130596736895457
South Carolina,2002,11,0.638739453750722
South Carolina,2002,12,0.566377986766371
South Carolina,2003,1,0.5321673704203157
South Carolina,2003,2,0.5159594545135979
South Carolina,2003,3,0.5372452497907177
South Carolina,2003,4,0.6781109348563427
South Carolina,2003,5,0.7275778570951696
South Carolina,2003,6,0.7519139760850866
South Carolina,2003,7,0.7345586803557992
South Carolina,2003,8,0.7517261605547342
South Carolina,2003,9,0.724028738599347
South Carolina,2003,10,0.6871812179228761
South Carolina,2003,11,0.6155654503458751
South Carolina,2003,12,0.5694176429923038
South Carolina,2004,1,0.5258060113732932
South Carolina,2004,2,0.5143593877924076
South Carolina,2004,3,0.5203545033272774
South Carolina,2004,4,0.6437597957772865
South Carolina,2004,5,0.7207755928297784
South Carolina,2004,6,0.7566214498534696
South Carolina,2004,7,0.7623110714088246
South Carolina,2004,8,0.7687398977854081
South Carolina,2004,9,0.7366102503625269
South Carolina,2004,10,0.6980877786002873
South Carolina,2004,11,0.6259892016140949
South Carolina,2004,12,0.5807490358756153
South Carolina,2005,1,0.5417434509619431
South Carolina,2005,2,0.5180112655395321
South Carolina,2005,3,0.5187244742578228
South Carolina,2005,4,0.665185574012071
South Carolina,2005,5,0.7187949837456433
South Carolina,2005,6,0.7560845686095043
South Carolina,2005,7,0.7596674706147667
South Carolina,2005,8,0.7609733468331918
South Carolina,2005,9,0.7240658478698446
South Carolina,2005,10,0.6990299262859554
South Carolina,2005,11,0.6130279446862891
South Carolina,2005,12,0.563118521385922
South Carolina,2006,1,0.5420169519940342
South Carolina,2006,2,0.5271195113233622
South Carolina,2006,3,0.5232497256417892
South Carolina,2006,4,0.6504244289455108
South Carolina,2006,5,0.7194630997309971
South Carolina,2006,6,0.7494431861813787
South Carolina,2006,7,0.7572717985172388
South Carolina,2006,8,0.7649582215372482
South Carolina,2006,9,0.7425007000147411
South Carolina,2006,10,0.6742895854158154
South Carolina,2006,11,0.5907680272925182
South Carolina,2006,12,0.5682092691138455
South Carolina,2007,1,0.5568431354998088
South Carolina,2007,2,0.5321745943975702
South Carolina,2007,3,0.5569853944499416
South Carolina,2007,4,0.6205769038989345
South Carolina,2007,5,0.6915101401848903
South Carolina,2007,6,0.7360903299059683
South Carolina,2007,7,0.7363826265118933
South Carolina,2007,8,0.7230861991349636
South Carolina,2007,9,0.7087678090989616
South Carolina,2007,10,0.682635526140739
South Carolina,2007,11,0.6029844150675328
South Carolina,2007,12,0.5563753973043996
South Carolina,2008,1,0.5434757106053992
South Carolina,2008,2,0.5280123198997292
South Carolina,2008,3,0.5241835277866876
South Carolina,2008,4,0.6515821017303656
South Carolina,2008,5,0.7080214779256143
South Carolina,2008,6,0.699838196332664
South Carolina,2008,7,0.7471926517796199
South Carolina,2008,8,0.7278411007479929
South Carolina,2008,9,0.7380758469616668
South Carolina,2008,10,0.6673443048600592
