state,year,month,ndvi
South Dakota,2000,1,
South Dakota,2000,2,0.2174916651112693
South Dakota,2000,3,0.2274002318754469
South Dakota,2000,4,0.3038406514228431
South Dakota,2000,5,0.4848988346865756
South Dakota,2000,6,0.5366331144425309
South Dakota,2000,7,0.5471480539189676
South Dakota,2000,8,0.46628376720927045
South Dakota,2000,9,0.3248132723736155
South Dakota,2000,10,0.2635453718603589
South Dakota,2000,11,0.020647233474684282
South Dakota,2000,12,0.043090388896886156
South Dakota,2001,1,0.0574569968694142
South Dakota,2001,2,-0.008981473863977471
South Dakota,2001,3,0.09369733505655334
South Dakota,2001,4,0.2753676935519143
South Dakota,2001,5,0.4594949953360935
South Dakota,2001,6,0.5538391581997432
South Dakota,2001,7,0.5650531196645996
South Dakota,2001,8,0.4763613989100098
South Dakota,2001,9,0.37455744582215805
South Dakota,2001,10,0.32754615919659624
South Dakota,2001,11,0.26129790927106045
South Dakota,2001,12,0.12508852183636668
South Dakota,2002,1,0.1649362082888929
South Dakota,2002,2,0.20492356920459406
South Dakota,2002,3,0.1309928487741674
South Dakota,2002,4,0.2736489419232917
South Dakota,2002,5,0.37481522868520134
South Dakota,2002,6,0.4080730343829343
South Dakota,2002,7,0.42314231911337796
South Dakota,2002,8,0.4517522398166204
South Dakota,2002,9,0.40423814049549867
South Dakota,2002,10,0.3218078880500781
South Dakota,2002,11,0.29536004598930266
South Dakota,2002,12,0.24761958416977597
South Dakota,2003,1,0.14733605561774088
South Dakota,2003,2,0.09982409684365787
South Dakota,2003,3,0.2305330889517287
South Dakota,2003,4,0.3148585066339832
South Dakota,2003,5,0.502395776676807
South Dakota,2003,6,0.53400504979041
South Dakota,2003,7,0.5039957238186842
South Dakota,2003,8,0.42419540189437704
South Dakota,2003,9,0.3390477457041897
South Dakota,2003,10,0.29682338959936316
South Dakota,2003,11,0.2012754186435685
South Dakota,2003,12,0.11490643005307558
South Dakota,2004,1,0.15610923501741936
South Dakota,2004,2,0.0903747485398269
South Dakota,2004,3,0.2332743349173814
South Dakota,2004,4,0.31402296537951696
South Dakota,2004,5,0.41401623338980637
South Dakota,2004,6,0.5050014455624543
South Dakota,2004,7,0.5203985897596297
South Dakota,2004,8,0.48105327167745376
South Dakota,2004,9,0.4438347654449612
South Dakota,2004,10,0.3619034014017498
South Dakota,2004,11,0.30832253642410024
South Dakota,2004,12,0.2661284522606215
South Dakota,2005,1,0.1659033709333326
South Dakota,2005,2,0.2321212049904819
South Dakota,2005,3,0.23981621113629364
South Dakota,2005,4,0.3204920932955516
South Dakota,2005,5,0.5040368570205975
South Dakota,2005,6,0.5767795396885727
South Dakota,2005,7,0.5170396075782171
South Dakota,2005,8,0.47842609423666566
South Dakota,2005,9,0.3804686357296867
South Dakota,2005,10,0.33287948482962665
South Dakota,2005,11,0.2819015278714364
South Dakota,2005,12,0.09522028145774797
South Dakota,2006,1,0.143869032730945
South Dakota,2006,2,0.19217307831115454
South Dakota,2006,3,0.21414278710895523
South Dakota,2006,4,0.3281147271322459
South Dakota,2006,5,0.4343705999768353
South Dakota,2006,6,0.4552697317832843
South Dakota,2006,7,0.40386351873022613
South Dakota,2006,8,0.4439372086004107
South Dakota,2006,9,0.4295792751255569
