state,year,month,ndvi
Texas,2000,1,
Texas,2000,2,0.3330563056343595
Texas,2000,3,0.37070193190327183
Texas,2000,4,0.4097255388524707
Texas,2000,5,0.4203402257918092
Texas,2000,6,0.45676030366707965
Texas,2000,7,0.4019107388916975
Texas,2000,8,0.34957360867608755
Texas,2000,9,0.345665654389846
Texas,2000,10,0.3894410595988289
Texas,2000,11,0.394970165923631
Texas,2000,12,0.37327183772157907
Texas,2001,1,0.35330415255496045
Texas,2001,2,0.37352929300294324
Texas,2001,3,0.42361192004782317
Texas,2001,4,0.475279551336656
Texas,2001,5,0.4502227195770251
Texas,2001,6,0.41239589879258537
Texas,2001,7,0.3880816358263551
Texas,2001,8,0.4123314598573301
Texas,2001,9,0.4510525885873884
Texas,2001,10,0.4160693037806018
Texas,2001,11,0.3950555446721381
Texas,2001,12,0.3842565790032828
Texas,2002,1,0.3401620409510461
Texas,2002,2,0.33701266890812615
Texas,2002,3,0.3417555892555379
Texas,2002,4,0.4189350061898368
Texas,2002,5,0.42395103174579674
Texas,2002,6,0.4324635894463596
Texas,2002,7,0.4660144302918073
Texas,2002,8,0.44295687282584617
Texas,2002,9,0.4488347931824715
Texas,2002,10,0.4604348473751454
Texas,2002,11,0.41971657453839356
Texas,2002,12,0.3896593559651725
Texas,2003,1,0.36263942673715627
Texas,2003,2,0.37709513388635046
Texas,2003,3,0.4062138736339416
Texas,2003,4,0.44038629189097195
Texas,2003,5,0.4304932438074283
Texas,2003,6,0.47375083086795594
Texas,2003,7,0.4428800430845735
Texas,2003,8,0.4395087284642294
Texas,2003,9,0.4734658950641805
Texas,2003,10,0.4543507946168281
Texas,2003,11,0.4013395770001818
Texas,2003,12,0.346864042345543
Texas,2004,1,0.32991339175435025
Texas,2004,2,0.32898642655780697
Texas,2004,3,0.394582862133558
Texas,2004,4,0.49473518471244166
Texas,2004,5,0.47043805905680813
Texas,2004,6,0.49143766987130394
Texas,2004,7,0.49385567206959996
Texas,2004,8,0.5036719815082022
Texas,2004,9,0.48921384931551504
Texas,2004,10,0.47922426343960683
Texas,2004,11,0.44232765265501267
Texas,2004,12,0.3911653901285492
Texas,2005,1,0.3609642843295289
Texas,2005,2,0.38101981449200334
Texas,2005,3,0.4296081932356314
Texas,2005,4,0.4758025864546024
Texas,2005,5,0.49160589906240787
Texas,2005,6,0.4656754809533204
Texas,2005,7,0.4700558593369885
Texas,2005,8,0.4984209607631262
Texas,2005,9,0.45691140922026446
Texas,2005,10,0.44082173750304576
Texas,2005,11,0.3954605164233819
Texas,2005,12,0.3484156018810365
Texas,2006,1,0.3183102288713267
Texas,2006,2,0.30985260095671074
Texas,2006,3,0.33814240329570766
