state,year,irr_acres,tot_acres,irr_frac
Alabama,2002,,5072.0,
Alabama,2007,,8179.0,
Alabama,2012,2300.0,33455.0,0.06874906590943058
Alabama,2017,2648.0,34548.0,0.076646983906449
Alabama,2022,4981.0,37368.0,0.13329586812245772
Arizona,2002,45131.0,45131.0,1.0
Arizona,2007,36324.0,36324.0,1.0
Arizona,2012,50299.0,50299.0,1.0
Arizona,2017,56408.0,56408.0,1.0
Arizona,2022,36795.0,36795.0,1.0
Arkansas,2002,13025.0,169578.0,0.07680831239901402
Arkansas,2007,22400.0,185694.0,0.12062856096589011
Arkansas,2012,12831.0,108822.0,0.11790814357390969
Arkansas,2017,4513.0,31500.0,0.14326984126984127
Arkansas,2022,3299.0,35130.0,0.09390834044975804
California,2002,99862.0,118611.0,0.8419286575444099
California,2007,108718.0,125061.0,0.8693197719512877
California,2012,166311.0,219659.0,0.7571326465111833
California,2017,50088.0,94506.0,0.5299980953590249
California,2022,9931.0,28117.0,0.3532026887648042
Colorado,2002,36216.0,902836.0,0.04011359759690575
Colorado,2007,50585.0,1530068.0,0.03306062214228387
Colorado,2012,38420.0,1354824.0,0.0283579269336829
Colorado,2017,65878.0,1416358.0,0.04651225184593161
Colorado,2022,32157.0,1023068.0,0.0314319282784722
Delaware,2002,,3462.0,
Delaware,2007,,6500.0,
Delaware,2012,2136.0,3809.0,0.5607771068521922
Delaware,2017,,,
Delaware,2022,,,
Florida,2002,,6108.0,
Florida,2007,,9157.0,
Florida,2012,,1071.0,
Florida,2017,,1164.0,
Florida,2022,,,
Georgia,2002,,12226.0,
Georgia,2007,1816.0,31495.0,0.05765994602317828
Georgia,2012,1700.0,20160.0,0.08432539682539683
Georgia,2017,,7115.0,
Georgia,2022,8433.0,28290.0,0.2980911983032874
Idaho,2002,221789.0,693049.0,0.3200192194202719
Idaho,2007,234223.0,646710.0,0.36217624592166503
Idaho,2012,293989.0,704303.0,0.41741835545212785
Idaho,2017,301651.0,704661.0,0.4280796013969838
Idaho,2022,251930.0,734499.0,0.3429957018321332
Illinois,2002,,21234.0,
Illinois,2007,,31849.0,
Illinois,2012,,47480.0,
Illinois,2017,,54864.0,
Illinois,2022,,77564.0,
Indiana,2002,,,
Indiana,2007,,,
Indiana,2012,,,
Indiana,2017,,11084.0,
Indiana,2022,,,
Iowa,2002,,,
Iowa,2007,,,
Iowa,2012,,,
Iowa,2017,,,
Iowa,2022,,,
Kansas,2002,,,
Kansas,2007,,,
Kansas,2012,,,
Kansas,2017,,,
Kansas,2022,,,
Kentucky,2002,,,
Kentucky,2007,,,
Kentucky,2012,,,
Kentucky,2017,,,
Kentucky,2022,,,
Louisiana,2002,,,
Louisiana,2007,,,
Louisiana,2012,,,
Louisiana,2017,,,
Louisiana,2022,,,
Maryland,2002,,,
Maryland,2007,,,
Maryland,2012,,,
Maryland,2017,,,
Maryland,2022,,,
Michigan,2002,,,
Michigan,2007,,,
Michigan,2012,,,
Michigan,2017,,,
Michigan,2022,,,
Minnesota,2002,,,
Minnesota,2007,,,
Minnesota,2012,,,
Minnesota,2017,,,
Minnesota,2022,,,
Mississippi,2002,,,
Mississippi,2007,,,
Mississippi,2012,,,
Mississippi,2017,,,
Mississippi,2022,,,
Missouri,2002,,,
Missouri,2007,,,
Missouri,2012,,,
Missouri,2017,,,
Missouri,2022,,,
Montana,2002,,,
Montana,2007,,,
Montana,2012,,,
Montana,2017,,,
Montana,2022,,,
Nebraska,2002,,,
Nebraska,2007,,,
Nebraska,2012,,,
Nebraska,2017,,,
Nebraska,2022,,,
Nevada,2002,,,
Nevada,2007,,,
Nevada,2012,,,
Nevada,2017,,,
Nevada,2022,,,
New Jersey,2002,,,
New Jersey,2007,,,
New Jersey,2012,,,
New Jersey,2017,,,
New Jersey,2022,,,
New Mexico,2002,,,
New Mexico,2007,,,
New Mexico,2012,,,
New Mexico,2017,,,
New Mexico,2022,,,
New York,2002,,,
New York,2007,,,
New York,2012,,,
New York,2017,,,
New York,2022,,,
North Carolina,2002,,,
North Carolina,2007,,,
North Carolina,2012,,,
North Carolina,2017,,,
North Carolina,2022,,,
North Dakota,2002,,,
North Dakota,2007,,,
North Dakota,2012,,,
North Dakota,2017,,,
North Dakota,2022,,,
Ohio,2002,,,
Ohio,2007,,,
Ohio,2012,,,
Ohio,2017,,,
Ohio,2022,,,
Oklahoma,2002,,,
Oklahoma,2007,,,
Oklahoma,2012,,,
Oklahoma,2017,,,
Oklahoma,2022,,,
Oregon,2002,,,
Oregon,2007,27641.0,631533.0,0.043768100795999576
Oregon,2012,40759.0,595314.0,0.06846638916605355
Oregon,2017,39471.0,634531.0,0.0622049986525481
Oregon,2022,,,
Pennsylvania,2002,49.0,,
Pennsylvania,2007,,,
Pennsylvania,2012,,,
Pennsylvania,2017,,7551.0,
Pennsylvania,2022,,,
South Carolina,2002,,,
South Carolina,2007,,24226.0,
South Carolina,2012,1834.0,38253.0,0.04794395210833137
South Carolina,2017,,16867.0,
South Carolina,2022,,,
South Dakota,2002,,578397.0,
South Dakota,2007,,,
South Dakota,2012,,,
South Dakota,2017,,,
South Dakota,2022,,,
Tennessee,2002,,50319.0,
Tennessee,2007,,,
Tennessee,2012,,,
Tennessee,2017,,,
Tennessee,2022,,,
Texas,2002,,,
Texas,2007,,,
Texas,2012,,,
Texas,2017,,,
Texas,2022,,,
Utah,2002,,,
Utah,2007,,,
Utah,2012,,,
Utah,2017,,,
Utah,2022,,,
Virginia,2002,,,
Virginia,2007,,,
Virginia,2012,,,
Virginia,2017,,,
Virginia,2022,,,
Washington,2002,,,
Washington,2007,,,
Washington,2012,,,
Washington,2017,,,
Washington,2022,,,
West Virginia,2002,,,
West Virginia,2007,,,
West Virginia,2012,,,
West Virginia,2017,,,
West Virginia,2022,,,
Wisconsin,2002,,,
Wisconsin,2007,,,
Wisconsin,2012,,,
Wisconsin,2017,,,
Wisconsin,2022,,,
Wyoming,2002,,,
Wyoming,2007,,,
Wyoming,2012,,,
Wyoming,2017,,,
Wyoming,2022,,,
