state,year,yield_bu_acre
ALABAMA,2024,71
ARKANSAS,2024,56
CALIFORNIA,2024,78
COLORADO,2024,35
DELAWARE,2024,72
GEORGIA,2024,59
IDAHO,2024,89
ILLINOIS,2024,86
INDIANA,2024,89
KANSAS,2024,43
KENTUCKY,2024,75
MARYLAND,2024,75
MICHIGAN,2024,87
MISSISSIPPI,2024,50
MISSOURI,2024,75
MONTANA,2024,50
NEBRASKA,2024,52
NEW MEXICO,2024,12
NEW YORK,2024,75
NORTH CAROLINA,2024,57
NORTH DAKOTA,2024,54
OHIO,2024,85
OKLAHOMA,2024,38
OREGON,2024,70
PENNSYLVANIA,2024,75
SOUTH CAROLINA,2024,54
SOUTH DAKOTA,2024,63
TENNESSEE,2024,75
TEXAS,2024,31
UTAH,2024,49
VIRGINIA,2024,66
WASHINGTON,2024,70
WISCONSIN,2024,82
WYOMING,2024,31
ALABAMA,2023,75
ARKANSAS,2023,57
CALIFORNIA,2023,80
COLORADO,2023,41
DELAWARE,2023,92
GEORGIA,2023,55
IDAHO,2023,89
ILLINOIS,2023,87
INDIANA,2023,92
KANSAS,2023,35
KENTUCKY,2023,88
MARYLAND,2023,85
MICHIGAN,2023,83
MISSISSIPPI,2023,52
MISSOURI,2023,70
MONTANA,2023,51
NEBRASKA,2023,42
NEW JERSEY,2023,82
NEW MEXICO,2023,11
NEW YORK,2023,81
NORTH CAROLINA,2023,70
NORTH DAKOTA,2023,56
OHIO,2023,90
OKLAHOMA,2023,28
OREGON,2023,56
OTHER STATES,2023,0
PENNSYLVANIA,2023,76
SOUTH CAROLINA,2023,58
SOUTH DAKOTA,2023,47
TENNESSEE,2023,80
TEXAS,2023,37
UTAH,2023,53
VIRGINIA,2023,78
WASHINGTON,2023,54
WISCONSIN,2023,76
WYOMING,2023,30
ALABAMA,2022,72
ARKANSAS,2022,53
CALIFORNIA,2022,73
COLORADO,2022,25
DELAWARE,2022,76
GEORGIA,2022,58
IDAHO,2022,90
ILLINOIS,2022,79
INDIANA,2022,81
KANSAS,2022,37
KENTUCKY,2022,80
MARYLAND,2022,78
MICHIGAN,2022,83
MISSISSIPPI,2022,52
MISSOURI,2022,60
MONTANA,2022,33
NEBRASKA,2022,32
NEW JERSEY,2022,70
NEW MEXICO,2022,17
NEW YORK,2022,72
NORTH CAROLINA,2022,64
NORTH DAKOTA,2022,60
OHIO,2022,79
OKLAHOMA,2022,28
OREGON,2022,68
OTHER STATES,2022,0
PENNSYLVANIA,2022,73
SOUTH CAROLINA,2022,57
SOUTH DAKOTA,2022,52
TENNESSEE,2022,73
TEXAS,2022,30
UTAH,2022,36
VIRGINIA,2022,68
WASHINGTON,2022,68
WISCONSIN,2022,78
WYOMING,2022,17
ALABAMA,2021,83
ARKANSAS,2021,58
CALIFORNIA,2021,82
COLORADO,2021,37
DELAWARE,2021,70
GEORGIA,2021,56
IDAHO,2021,71
ILLINOIS,2021,79
INDIANA,2021,85
KANSAS,2021,52
KENTUCKY,2021,87
MARYLAND,2021,79
MICHIGAN,2021,81
MISSISSIPPI,2021,59
MISSOURI,2021,65
MONTANA,2021,31
NEBRASKA,2021,49
NEW JERSEY,2021,67
NEW MEXICO,2021,36
NEW YORK,2021,77
NORTH CAROLINA,2021,56
NORTH DAKOTA,2021,33
OHIO,2021,85
OKLAHOMA,2021,39
OREGON,2021,45
OTHER STATES,2021,0
PENNSYLVANIA,2021,77
SOUTH CAROLINA,2021,53
SOUTH DAKOTA,2021,38
TENNESSEE,2021,71
TEXAS,2021,37
UTAH,2021,46
VIRGINIA,2021,67
WASHINGTON,2021,42
WISCONSIN,2021,75
WYOMING,2021,32
ALABAMA,2020,72
ARKANSAS,2020,55
CALIFORNIA,2020,75
COLORADO,2020,27
DELAWARE,2020,73
GEORGIA,2020,55
IDAHO,2020,101
ILLINOIS,2020,68
INDIANA,2020,70
KANSAS,2020,45
KENTUCKY,2020,63
MARYLAND,2020,73
MICHIGAN,2020,75
MISSISSIPPI,2020,48
MISSOURI,2020,62
MONTANA,2020,51
NEBRASKA,2020,41
NEW JERSEY,2020,67
NEW MEXICO,2020,28
NEW YORK,2020,66
NORTH CAROLINA,2020,60
NORTH DAKOTA,2020,49
OHIO,2020,71
